"indicator","year","income","value"
"total_waste",2020,"HIC",649206291348
"total_waste",2020,"UMC",768362625329
"total_waste",2020,"LMC",519015811266
"total_waste",2020,"LIC",88410443581
"total_waste",2020,"unclassified",9004363100
"total_waste",2030,"HIC",706347642346
"total_waste",2030,"UMC",989045985279
"total_waste",2030,"LMC",706124945325
"total_waste",2030,"LIC",127664849486
"total_waste",2030,"unclassified",12410863967
"total_waste",2040,"HIC",745902046942
"total_waste",2040,"UMC",1153609196221
"total_waste",2040,"LMC",932185430420
"total_waste",2040,"LIC",182599026127
"total_waste",2040,"unclassified",15175920650
"total_waste",2050,"HIC",767165522120
"total_waste",2050,"UMC",1270516515183
"total_waste",2050,"LMC",1198452023651
"total_waste",2050,"LIC",262974260268
"total_waste",2050,"unclassified",17873089124
"per_capita_waste",2020,"HIC",578.4968713
"per_capita_waste",2020,"UMC",335.3689323
"per_capita_waste",2020,"LMC",172.4668092
"per_capita_waste",2020,"LIC",148.1644786
"per_capita_waste",2020,"unclassified",349.0515089
"per_capita_waste",2030,"HIC",614.0880082
"per_capita_waste",2030,"UMC",416.3481888
"per_capita_waste",2030,"LMC",207.8817974
"per_capita_waste",2030,"LIC",164.7744861
"per_capita_waste",2030,"unclassified",406.841293
"per_capita_waste",2040,"HIC",640.2375127
"per_capita_waste",2040,"UMC",479.3000193
"per_capita_waste",2040,"LMC",248.8908444
"per_capita_waste",2040,"LIC",188.7179073
"per_capita_waste",2040,"unclassified",467.0266837
"per_capita_waste",2050,"HIC",657.8524543
"per_capita_waste",2050,"UMC",531.0289617
"per_capita_waste",2050,"LMC",296.5229595
"per_capita_waste",2050,"LIC",224.8043967
"per_capita_waste",2050,"unclassified",532.145918
