"iso3c","collection_rate"
"AGO",23.1
"ALB",60
"AND",100
"ARG",89.91
"ASM",100
"ATG",98.61
"AZE",56
"BFA",9.6
"BLR",93.2
"BLZ",85.2
"BMU",100
"BOL",57.6
"BRA",91.3
"BRB",90
"CAN",99
"CHE",99
"CHN",94
"CMR",61.6
"COL",80.6
"CPV",70.6
"CRI",90.4
"CUB",76.9
"DMA",94
"FSM",8
"GAB",23.6
"GEO",60
"GTM",77.7
"GUM",100
"GUY",89
"HKG",100
"HND",64.6
"IDN",45
"IRN",100
"IRQ",76
"ISL",100
"JAM",76
"JPN",99.9
"KAZ",77
"KEN",40
"KIR",54
"KNA",95
"KOR",99.92
"KWT",100
"LCA",100
"LIE",100
"LSO",20
"MAC",100
"MCO",100
"MDG",17.7
"MDV",38.2
"MHL",49
"MKD",73
"MMR",60
"MNE",75.9
"MUS",98
"NCL",67
"NIC",92.3
"NOR",99
"NRU",100
"NZL",97
"PAN",84.9
"PER",82.93
"PLW",77
"PRY",46.6
"PSE",91.5
"PYF",51
"QAT",100
"SAU",100
"SEN",21.4
"SGP",100
"SLB",12
"SLV",78.8
"SRB",70
"STP",48.4
"SUR",79.5
"SYR",74
"TJK",38.25
"TON",71
"TTO",94.31
"TUN",65
"TUV",47
"UKR",75.86
"URY",98
"USA",100
"VGB",97.2
"VNM",72
"VUT",12
"WSM",100
"XKX",39
"YEM",20
"ZMB",20
"LIC",39
"LMC",51
"UMC",82
"HIC",96
