"iso3c","gdp","pop","waste","sharepopurban","wastepercap"
"ABW",35563.3125,103187,88132.0167,43.697,854.1
"AFG",2057.062256,34656032,5628525.37,26.026,162.4111315
"AGO",8036.69043,25096150,4213643.585,66.825,167.9
"ALB",13724.05859,2854191,1087446.75,62.112,380.9999926
"AND",43711.80078,82431,43000,87.916,521.648409
"ARE",67119.13281,9770529,5617682,87.048,574.9619084
"ARG",23550.09961,42981516,17910550,92.111,416.703543
"ARM",11019.83887,2906220,492800,63.313,169.5673418
"ASM",11113.44238,55599,18989.49,87.153,341.5437328
"ATG",17965.50195,96777,30585,24.433,316.035835
"AUS",47784.17969,23789338,13345000,86.241,560.9655889
"AUT",56029.61328,8877067,5219715.5,58.748,588.0000117
"AZE",14853.91016,9649341,2930349,56.397,303.6838474
"BDI",839.7785034,6741569,1872016,13.708,277.6825395
"BEL",51914.91406,11484055,4765883,98.079,415.0000152
"BEN",2227.352295,5521763,685936.01,48.415,124.2240947
"BFA",1925.331177,18110624,2575251.11,30.607,142.1956035
"BGD",3195.737061,155727056,14778497.33,38.177,94.89999817
"BGR",22279.36133,7025037,2859190,75.686,406.9999916
"BHR",47937.77734,1425171,951942.9695,89.506,667.95
"BHS",35400.08203,386838,264000,83.245,682.456222
"BIH",12671.00781,3535961,1248718,49.02,353.1481258
"BLR",18307.51953,9489616,4280000,79.483,451.0193036
"BLZ",7259.024414,359288,101378.8303,46.025,282.1659234
"BMU",80982.36719,64798,82000,100,1265.471157
"BOL",7984.413574,10724705,2219052,70.123,206.9103066
"BRA",14596.24609,208494896,79069584,87.073,379.2399024
"BRB",15444.74609,280601,174815.4444,31.191,623.00364
"BRN",60865.98828,423196,216253.156,78.25,511
"BTN",6743.016113,686958,111314.05,42.316,162.0390912
"BWA",14126.38965,2014866,210854.4426,70.877,104.6493626
"CAF",822.6104736,4515392,1105983,42.198,244.9362093
"CAN",47672.07813,35544564,25103034,81.562,706.2411569
"CHE",68394.28906,8574832,6079556,73.915,709.0000131
"CHI",46672.59375,164541,178933,30.963,1087.467561
"CHL",20361.71484,16829442,6517000,87.727,387.238032
"CHN",16092.30078,1400050048,395081376,61.428,282.1908949
"CIV",3660.902832,20401332,4440814.27,51.706,217.6727613
"CMR",3262.763672,21655716,3270616.59,57.56,151.0278667
"COD",1055.572998,78736152,14385226.02,45.638,182.7016644
"COG",4899.57959,2648507,451200,67.829,170.3601312
"COL",12523.00684,46406648,12150120,81.425,261.8185222
"COM",2959.540039,777424,91013,29.38,117.0699644
"CPV",6353.783203,513979,132555,66.652,257.8996418
"CRI",18168.71484,4757575,1460000,80.771,306.8790298
"CUB",12984.71094,11303687,2692691.98,77.194,238.2136006
"CUW",27503.78906,153822,24703.8132,89.062,160.6
"CYM",66207.44531,59172,60000,100,1013.993105
"CYP",39544.68359,1198575,769485.125,66.821,641.9999791
"DEU",53784.78125,83132800,50627876,77.453,609.0000096
"DJI",6596.775391,746221,114997.249,78.062,154.1061549
"DMA",11708.63965,72400,13176,71.09,181.9889503
"DNK",57821.19922,5818553,4910858.5,88.116,843.9999601
"DOM",15328.35254,10528394,4063910,82.54,385.995243
"DZA",11826.16504,40606052,12378740,73.733,304.8496318
"ECU",11896.37695,16144368,5297211.143,64.166,328.1151138
"EGY",10301.10742,87813256,21000000,42.783,239.1438486
"ERI",1714.552368,4474690,726957.37,41.347,162.4598285
"ESP",40985.55859,47076780,22408548,80.81,476.0000153
"EST",36956.28516,1326590,489511.7188,69.229,369.0000066
"ETH",1779.083984,99873032,6532786.97,21.695,65.41092064
"FIN",48814.30859,5520314,3124497.75,85.517,566.0000047
"FJI",10787.68555,867086,189389.594,57.247,218.4207726
"FRA",46110.18359,67059888,36748820,80.975,548.0000205
"FRO",44402.87891,48842,61000,42.398,1248.925105
"FSM",3440.064209,104937,26039.57,22.933,248.1447916
"GAB",18514.65234,1086137,238102.31,90.092,219.2194079
"GBR",46290.12109,66460344,30771140,83.903,463.000011
"GEO",12605.13965,3717100,800000,59.453,215.2215437
"GHA",3092.596924,21542008,3538274.978,57.349,164.2500076
"GIB",43711.80078,33623,16954,100,504.2381703
"GIN",1622.776855,8132552,596911,36.875,73.39774772
"GMB",2180.855713,1311349,193440.54,62.582,147.5126301
"GNB",1800.068604,1770526,289514,44.196,163.518638
"GNQ",24827.07227,1221490,198443.06,73.1,162.4598318
"GRC",30465.44922,10716322,5615352.5,79.715,523.9999787
"GRD",13207.71191,105481,29536.11394,36.537,280.0135943
"GRL",43948.5625,56905,50000,87.282,878.6574115
"GTM",8125.364746,16252429,2756740.971,51.836,169.6202439
"GUM",59074.94141,159973,141500,94.938,884.5242635
"GUY",9812.089844,746556,179251.5,26.786,240.1045601
"HKG",57215.96875,7305700,5679816.465,100,777.45
"HND",5395.61377,9112867,2162027.696,58.359,237.25
"HRV",28829.35547,4067500,1810037.5,57.553,445
"HTI",2952.618652,10847334,2309852.455,57.088,212.9419501
"HUN",32643.49023,9769949,3780970.25,71.942,386.9999987
"IDN",10531.19824,261115456,65200000,56.641,249.6979727
"IMN",44203.62109,80759,50551,52.898,625.9488107
"IND",6496.807617,1352617344,189750000,34.926,140.2835775
"IRL",83388.71875,4867316,2910655,63.653,598.0000066
"IRN",14535.8623,80277424,17885000,75.874,222.7899092
