"iso3c","year","was","pop"
"WLD",2020,100,100
"WLD",2030,125,109.7
"WLD",2040,148.9,118.1
"WLD",2050,172.9,125
"VIR",2020,100,100
"VIR",2030,107.5,96.4
"VIR",2040,109.8,90.4
"VIR",2050,107.5,82.6
"FRO",2020,100,100
"FRO",2030,110.4,104.2
"FRO",2040,119.4,107.8
"FRO",2050,124.1,109.4
"MCO",2020,100,100
"MCO",2030,112.8,106.4
"MCO",2040,124.1,112.1
"MCO",2050,132.9,117.2
"MDA",2020,100,100
"MDA",2030,129.1,96.3
"MDA",2040,155.1,90.3
"MDA",2050,168.8,83.3
"BMU",2020,100,100
"BMU",2030,95.7,97.1
"BMU",2040,87.4,92.3
"BMU",2050,76.3,85.6
"PRI",2020,100,100
"PRI",2030,112.8,101.6
"PRI",2040,113.8,94
"PRI",2050,110.2,85.5
"VGB",2020,100,100
"VGB",2030,117.2,105.1
"VGB",2040,129.5,106.6
"VGB",2050,135.8,104.3
"MNG",2020,100,100
"MNG",2030,152.8,113.4
"MNG",2040,210.6,124.7
"MNG",2050,265.9,135.7
"CYM",2020,100,100
"CYM",2030,111,111.6
"CYM",2040,111.4,121.7
"CYM",2050,95.8,128.8
"GRL",2020,100,100
"GRL",2030,106.5,100.6
"GRL",2040,108.5,98
"GRL",2050,106.5,93.9
"LIE",2020,100,100
"LIE",2030,109.5,103.3
"LIE",2040,116.7,105.4
"LIE",2050,120,105.8
"ABW",2020,100,100
"ABW",2030,113.8,103.3
"ABW",2040,122.6,103.9
"ABW",2050,125.5,101.8
"GUM",2020,100,100
"GUM",2030,111.4,107.3
"GUM",2040,118.4,112.2
"GUM",2050,120.6,114.2
"DNK",2020,100,100
"DNK",2030,106.8,103.6
"DNK",2040,112.3,106.1
"DNK",2050,115.7,107.8
"USA",2020,100,100
"USA",2030,109,105.6
"USA",2040,115.4,110.7
"USA",2050,119.5,114.6
"HKG",2020,100,100
"HKG",2030,111.5,107
"HKG",2040,114.5,108.6
"HKG",2050,112.2,107.3
"LUX",2020,100,100
"LUX",2030,99.9,110.3
"LUX",2040,98.2,118.9
"LUX",2050,94.5,126.2
"NOR",2020,100,100
"NOR",2030,109.9,108.4
"NOR",2040,118.5,115.7
"NOR",2050,125.6,121.7
"NZL",2020,100,100
"NZL",2030,112.9,107.3
"NZL",2040,125.3,112.7
"NZL",2050,136.5,116.3
"CAN",2020,100,100
"CAN",2030,113,108.2
"CAN",2040,125.3,115.2
