"iso3c","pop","emissions","emispercap","cumpop"
"QAT",2832071,114.7600021,40.52158372,2832071
"BHR",1641164,54.40999985,33.15329842,4473235
"KWT",4207077,136.6900024,32.4904922,8680312
"TKM",5942094,157.3300018,26.47719841,14622406
"ARE",9770526,243.5500031,24.92701038,24392932
"AUS",25365745,585.9799805,23.1012328,49758677
"BRN",433296,9.300000191,21.46338806,50191973
"GRD",112002,2.390000105,21.3389056,50303975
"SAU",34268529,723.1500244,21.10245305,84572504
"TTO",1394969,28.34000015,20.31586376,85967473
"OMN",4974992,100.2600021,20.15279665,90942465
"CAN",37601230,736.9299927,19.59856081,128543695
"LBY",6777453,126.6900024,18.6928633,135321148
"USA",328329953,6001.209961,18.27798502,463651101
"MNG",3225166,56.04999924,17.37895018,466876267
"RUS",144406261,2476.840088,17.1518885,611282528
"LUX",620001,10.47999954,16.9031978,611902529
"NZL",4979300,83.19999695,16.70917538,616881829
"PLW",18001,0.2899999917,16.11021564,616899830
"KAZ",18513673,274.6700134,14.8360627,635413503
"KOR",51764822,698.460022,13.49294743,687178325
"BRB",287021,3.789999962,13.20460859,687465346
"ATG",97115,1.220000029,12.56242628,687562461
"IRL",4934340,61.47999954,12.45961963,692496801
"SGP",5703569,67.23000336,11.78735689,698200370
"CZE",10671870,116.5899963,10.92498281,708872240
"IRN",82913893,893.7199707,10.77889288,791786133
"URY",3461731,36.11999893,10.43408599,795247864
"NLD",17344874,172.2299957,9.929734614,812592738
"MYS",31949789,313.019989,9.797247456,844542527
"EST",1326855,12.86999989,9.699627982,845869382
"ISR",9054000,87.18000031,9.628893341,854923382
"ZAF",58558267,555.4299927,9.485082485,913481649
"BEL",11488980,108.0599976,9.405534482,924970629
"FIN",5521606,51.47999954,9.323374312,930492235
"POL",37965475,353.1400146,9.301609282,968457710
"JPN",126264931,1166.51001,9.238590641,1094722641
"BLR",9419758,86.83000183,9.217859082,1104142399
"CHN",1407745000,12705.08984,9.025135833,2511887399
"DEU",83092962,749.710022,9.022545399,2594980361
"VEN",28515829,255.7400055,8.968352472,2623496190
"SRB",6945235,61.93000031,8.916904943,2630441425
"AUT",8879920,76.91999817,8.662239994,2639321345
"NOR",5347896,45.90000153,8.58281491,2644669241
"GNQ",1355982,11.40999985,8.414565863,2646025223
"ARG",44938712,369.0499878,8.212295621,2690963935
"AND",77146,0.6299999952,8.166333902,2691041081
"IRQ",39309789,320.8200073,8.161326109,2730350870
"BHS",389486,3.160000086,8.11325718,2730740356
"SYC",97625,0.7799999714,7.989756429,2730837981
"BIH",3300998,26.22999954,7.946081622,2734138979
"ISL",360563,2.849999905,7.904304947,2734499542
"SVN",2088385,16.45999908,7.881688043,2736587927
"SUR",581363,4.460000038,7.671626915,2737169290
"DNK",5814422,43.20000076,7.429801408,2742983712
"BGR",6975761,51.27999878,7.35116911,2749959473
"GRC",10721582,78.5,7.3216807,2760681055
"GUY",782775,5.679999828,7.256235608,2761463830
"CYP",1198574,8.539999962,7.125133669,2762662404
"PRY",7044639,49.54999924,7.033717304,2769707043
"SVK",5454147,38.06000137,6.978176674,2775161190
"LTU",2794137,18.93000031,6.774900553,2777955327
"KNA",52834,0.349999994,6.624521975,2778008161
"GBR",66836327,440.0799866,6.584443017,2844844488
"DZA",43053054,282.0100098,6.55029048,2887897542
"ITA",59729081,389,6.512740419,2947626623
"ESP",47134837,306.9500122,6.512168743,2994761460
"NRU",10764,0.0700000003,6.503158705,2994772224
"HUN",9771141,60.59000015,6.200913502,3004543365
"MNE",622028,3.829999924,6.157278971,3005165393
"FRA",67248926,414.0400085,6.156827078,3072414319
"LVA",1913822,11.69999981,6.113421107,3074328141
"THA",69625581,422.0899963,6.062283291,3143953722
"GAB",2172578,13.17000008,6.061922783,3146126300
"PRT",10286263,61.38000107,5.967181771,3156412563
"CHL",18952035,113.0199966,5.963475513,3175364598
"TUR",83429607,488.4700012,5.85487597,3258794205
"UZB",33580350,188.7599945,5.621144345,3292374555
"HRV",4065253,22.26000023,5.475674018,3296439808
"AZE",10024283,54.79999924,5.466725075,3306464091
"CHE",8575280,46.5,5.422563461,3315039371
"MKD",2076694,11.25,5.417264171,3317116065
"MUS",1265711,6.849999905,5.411977856,3318381776
"BOL",11513102,60.79000092,5.280071428,3329894878
"UKR",44386203,233.2599945,5.255236509,3374281081
"ROU",19371648,101.2399979,5.226194378,3393652729
"LBN",6855709,35.20999908,5.135865464,3400508438
"MEX",127575529,653.8699951,5.125355938,3528083967
"TCD",15946882,81.65000153,5.120123265,3544030849
"MDA",2664974,13.39000034,5.024439392,3546695823
"BRA",211049519,1057.26001,5.009535273,3757745342
"PAN",4246440,20.87999916,4.91705974,3761991782
"MDV",530957,2.599999905,4.896818207,3762522739
"LCA",182795,0.8799999952,4.814136028,3762705534
"BWA",2303703,11,4.774921073,3765009237
"GEO",3720161,17.60000038,4.730978144,3768729398
"VNM",96462108,450.1499939,4.666599178,3865191506
"SSD",11062114,50.90999985,4.602194467,3876253620
"TLS",1293120,5.909999847,4.570341382,3877546740
"SWE",10278887,46.18999863,4.493677051,3887825627
"NAM",2494524,10.65999985,4.273360307,3890320151
"MLT",504062,2.140000105,4.245509689,3890824213
"LIE",38020,0.1599999964,4.208311321,3890862233
"ECU",17373657,72.52999878,4.174711103,3908235890
"CAF",4745179,19.72999954,4.157904168,3912981069
"LAO",7169456,29.28000069,4.083991963,3920150525
"BLZ",390351,1.549999952,3.970785145,3920540876
"MHL",58791,0.2300000042,3.912163497,3920599667
"DOM",10738957,41.31999969,3.847673447,3931338624
"COL",50339443,187.3399963,3.721534947,3981678067
"IDN",270625567,1002.369995,3.703899843,4252303634
"CUB",11333484,41.24000168,3.638775303,4263637118
"JOR",10101697,36.56999969,3.620183786,4273738815
"COG",5380504,19.20000076,3.568439084,4279119319
"TUN",11694721,41.59000015,3.556305461,4290814040
"EGY",100388076,351.769989,3.504101314,4391202116
"CMR",25876387,90.12000275,3.48271197,4417078503
"WSM",197093,0.6800000072,3.450147936,4417275596
"JAM",2948277,9.970000267,3.381636212,4420223873
"ARM",2957728,9.960000038,3.367449623,4423181601
"DMA",71808,0.2300000042,3.202985798,4423253409
"MRT",4525698,14.28999996,3.15752398,4427779107
"ALB",2854191,9.010000229,3.156761488,4430633298
"CRI",5047561,15.75,3.120318903,4435680859
"PER",32510462,100.7300034,3.098387324,4468191321
"PRK",25666158,79.33999634,3.091229951,4493857479
"VCT",110593,0.3400000036,3.074335659,4493968072
"TON",104497,0.3100000024,2.966592365,4494072569
"VUT",299882,0.8700000048,2.901141131,4494372451
"NIC",6545503,18.79999924,2.872200843,4500917954
"SYR",17070132,48.47999954,2.84004831,4517988086
"FJI",889955,2.380000114,2.674292649,4518878041
"KGZ",6456200,16.90999985,2.619187734,4525334241
"TUV",11655,0.02999999933,2.574002516,4525345896
"PNG",8776119,22.40999985,2.553520508,4534122015
"MAR",36471766,93.08000183,2.552111182,4570593781
"AGO",31825299,79.68000031,2.503668553,4602419080
"IND",1366417756,3394.870117,2.484503807,5968836836
"SDN",42813237,106.0599976,2.477271166,6011650073
"MMR",54045422,133.25,2.465518726,6065695495
"SWZ",1148133,2.789999962,2.430032028,6066843628
"KHM",16486542,40.06000137,2.429860754,6083330170
"HND",9746115,22.38999939,2.29732559,6093076285
"FSM",113811,0.2599999905,2.284489113,6093190096
"MLI",19658023,44.15000153,2.245902425,6112848119
"GIN",12771246,28.32999992,2.218264367,6125619365
"BTN",763094,1.679999948,2.201563566,6126382459
"PHL",108116622,234.2799988,2.166919336,6234499081
"GTM",16604026,35.09999847,2.113945044,6251103107
"ZMB",17861034,37.56999969,2.10346163,6268964141
"ZWE",14645473,30.53000069,2.084603255,6283609614
"PAK",216565317,432.5,1.997088019,6500174931
"SLV",6453550,12.81999969,1.986503505,6506628481
"TJK",9321023,17.51000023,1.878549192,6515949504
"NER",23310719,42.72000122,1.832633357,6539260223
"SEN",16296362,29.22999954,1.793651831,6555556585
"LKA",21803000,35.99000168,1.650690349,6577359585
"SOM",15442906,25.14999962,1.628579467,6592802491
"BFA",20321383,32.20999908,1.585029871,6613123874
"NPL",28608715,44.22000122,1.545682888,6641732589
"KEN",52573967,81.01000214,1.540876726,6694306556
"NGA",200963603,308.1799927,1.533511482,6895270159
"CPV",549936,0.8100000024,1.472898669,6895820095
"TZA",58005461,84,1.448139512,6953825556
"DJI",973557,1.379999995,1.417482485,6954799113
"SLB",669821,0.9399999976,1.403359999,6955468934
"ETH",112078727,150.9600067,1.346910433,7067547661
"GNB",1920917,2.579999924,1.343108486,7069468578
"BGD",163046173,215.9400024,1.324410125,7232514751
"BEN",11801151,15.02000046,1.272757247,7244315902
"GHA",30417858,37.65000153,1.23775979,7274733760
"LSO",2125267,2.529999971,1.190438647,7276859027
"MOZ",30366043,35.40000153,1.165775914,7307225070
"MDG",26969306,29.57999992,1.096802414,7334194376
"KIR",117608,0.1199999973,1.02033873,7334311984
"GMB",2347696,2.339999914,0.9967218559,7336659680
"UGA",44269587,43.29000092,0.9778722561,7380929267
"TGO",8082359,7.889999866,0.976200125,7389011626
"CIV",25716554,24.86000061,0.9666925285,7414728180
"HTI",11263079,10.5,0.9322495208,7425991259
