"iso3c","emissions","pop","emispercap","cumpop"
"SLB",46.36,674993,68.68219374,674993
"QAT",114.76,2807235,40.88008307,3482228
"BHR",54.41,1494188,36.4144271,4976416
"KWT",136.69,4441100,30.77841075,9417516
"ARE",243.55,9211657,26.43932574,18629173
"TKM",157.33,6158420,25.54713709,24787593
"GUY",19.8,798753,24.78863929,25586346
"AUS",608.49,25340217,24.01281725,50926563
"SUR",13.83,600301,23.03844238,51526864
"BRN",9.63,438048,21.98389218,51964912
"OMN",100.28,4602768,21.78688998,56567680
"BWA",52.34,2499702,20.93849587,59067382
"CAN",774.29,37601230,20.59214552,96668612
"SAU",723.15,35827362,20.18429378,132495974
"GRD",2.39,122724,19.4745934,132618698
"LBY",126.69,6569088,19.28578214,139187786
"TTO",28.47,1519955,18.73081769,140707741
"MNG",59.15,3232430,18.29892681,143940171
"BLZ",6.85,389095,17.60495509,144329266
"USA",5771,328329953,17.57683071,472659219
"LUX",10.2,620001,16.45158637,473279220
"PLW",0.29,17916,16.18664881,473297136
"PRY",96.6,6530026,14.79320297,479827162
"KAZ",271.68,18513673,14.67455972,498340835
"NZL",72.59,4979200,14.57864717,503320035
"BRB",3.79,280180,13.52701835,503600215
"RUS",1924.82,144406261,13.32920046,648006476
"ATG",1.22,92117,13.24402662,648098593
"KOR",652.66,51764822,12.60817626,699863415
"MYS",396.11,32804020,12.07504446,732667435
"IRL",58.68,4934340,11.89216795,737601775
"SGP",67.26,5703569,11.79261617,743305344
"BOL",138.72,11777315,11.77857602,755082659
"EST",14.83,1326898,11.1764431,756409557
"FIN",58.42,5521606,10.58025509,761931163
"VEN",299.6,28971683,10.34113206,790902846
"IRN",893.78,86564202,10.32505331,877467048
"URY",34.36,3428409,10.02214147,880895457
"NLD",173.59,17344874,10.00814419,898240331
"GNQ",15.24,1553031,9.813068767,899793362
"ZAF",562.19,58087055,9.67840425,957880417
"ISR",87.26,9054000,9.63772918,966934417
"BEL",108.22,11488980,9.419461084,978423397
"JPN",1134.45,126633000,8.958565303,1105056397
"CAF",46.58,5209324,8.941659225,1110265721
"SRB",61.86,6945235,8.906826047,1117210956
"ARG",398.91,44938712,8.876756414,1162149668
"GAB",19.68,2242785,8.77480454,1164392453
"NAM",21.22,2446644,8.673104873,1166839097
"DEU",720.23,83092962,8.667761777,1249932059
"CHN",12055.41,1407745000,8.563631908,2657677059
"POL",320.23,37965475,8.434768694,2695642534
"AND",0.63,76343,8.252230067,2695718877
"SVN",16.81,2088385,8.049282101,2697807262
"SYC",0.78,97625,7.989756722,2697904887
"BHS",3.18,404557,7.860449825,2698309444
"AUT",69.8,8879920,7.860431175,2707189364
"IRQ",321.31,41563520,7.730577198,2748752884
"ISL",2.77,360563,7.682429978,2749113447
"ZWE",117.96,15354608,7.682384337,2764468055
"DNK",44.06,5814422,7.577709358,2770282477
"COD",679.57,89906890,7.558597567,2860189367
"GRC",79.91,10721582,7.453191143,2870910949
"KNA",0.35,47712,7.335680751,2870958661
"BIH",24.5,3360711,7.290124024,2874319372
"IDN",1959.71,269582878,7.269415679,3143902250
"BLR",65.33,9419758,6.935422333,3153322008
"BRA",1451.63,211782878,6.854331255,3365104886
"SVK",37,5454147,6.783828892,3370559033
"CYP",8.29,1228836,6.746221628,3371787869
"PNG",63.47,9542486,6.651306588,3381330355
"DZA",282.23,42705368,6.608771057,3424035723
"TCD",105.68,16126866,6.553040126,3440162589
"LTU",18.3,2794137,6.549428321,3442956726
"GBR",429.13,66836327,6.420610157,3509793053
"HUN",62.48,9771141,6.394340231,3519564194
"ITA",376.19,59729081,6.298272026,3579293275
"ESP",293.08,47134837,6.217906301,3626428112
"MNE",3.86,622028,6.205508434,3627050140
"THA",437.18,71307763,6.130889283,3698357903
"LBN",35.13,5781907,6.075850061,3704139810
"PRT",61.7,10286263,5.998291119,3714426073
"PAN",25.3,4232532,5.977509444,3718658605
"PER",190.66,32824861,5.808402357,3751483466
"SSD",60.33,10447666,5.774495471,3761931132
"NRU",0.07,12132,5.76986482,3761943264
"NIC",38.41,6663924,5.763871257,3768607188
"ECU",98.7,17343740,5.690814092,3785950928
"UZB",185.39,33580350,5.520788199,3819531278
"LAO",39.42,7212053,5.465850015,3826743331
"MKD",11.26,2076694,5.422079517,3828820025
"COG",30.07,5570733,5.397853388,3834390758
"MUS",6.83,1265711,5.396176536,3835656469
"COL",270.53,50187406,5.390396148,3885843875
"MEX",670.84,125085311,5.363059776,4010929186
"AZE",52.89,10024283,5.276187833,4020953469
"FRA",352.1,67388001,5.224965792,4088341470
"CHE",44.26,8575280,5.161347501,4096916750
"MDV",2.6,504508,5.153535722,4097421258
"MHL",0.23,44728,5.14219281,4097465986
"MDA",13.5,2664224,5.067141502,4100130210
"NOR",26.98,5347896,5.044974697,4105478106
"UKR",221.29,44386203,4.985558238,4149864309
"TLS",6.38,1280438,4.982669993,4151144747
"ZMB",91.36,18380477,4.970491245,4169525224
"CMR",124.79,25782341,4.840134571,4195307565
"GEO",17.64,3720161,4.741730264,4199027726
"LVA",8.93,1913822,4.666055673,4200941548
"MMR",242.95,53040212,4.580486971,4253981760
"VNM",438.11,95776716,4.574285049,4349758476
"KHM",71.77,16207746,4.428129612,4365966222
"HRV",17.92,4065253,4.40808973,4370031475
"MLT",2.13,504062,4.225670652,4370535537
"LIE",0.16,38482,4.157788057,4370574019
"LCA",0.74,178583,4.143731486,4370752602
