"year","deaths","victims","damage"
1900,1267300,1267300,974947
1902,600,600,0
1903,413,413,14443657
1904,0,0,0
1905,240,240,0
1906,10304,10304,601819
1909,838,838,0
1910,86471,118471,0
1911,101073,101273,580325
1912,51170,148690,980550
1913,732,732,5471082
1914,0,0,0
1915,2181,3002203,1603531
1916,300,300,0
1917,4057,639057,1055137
1918,1034,1034,1797468
1919,500,500,389854
1920,524224,20524224,269919
1921,1200000,6200000,0
1922,100143,111143,129218
1923,3339,29639,158683
1924,2242,1002242,0
1925,819,819,570415
1926,4696,44696,1588259
1927,9018,49028,345994
1928,3004260,3012260,1180895
1929,60,60,865990
1930,4122,16122,647375
1931,3703390,3728390,25022568
1932,3274,5774,594480
1933,18116,3618116,62657
1934,5591,5591,1010517
1935,204707,10235207,157759
1936,5275,155275,409150
1937,11479,11479,8237398
1938,2059,2059,5877339
1939,500084,503984,0
1940,20248,22248,0
1941,10146,10266,735254
1942,1601000,1601000,0
1943,1905990,1935990,14061733
1944,896,14996,1535833
1945,4415,1888087,6007066
1946,30337,30337,6932
1947,6738,6738,1574057
1948,4413,418866,202551
1949,111884,305930,170445
1950,4811,10778928,2258693
1951,8688,580922,15678833
1952,6504,1007756,529419
1953,9608,3200718,3809649
1954,38491,341386,8869559
1955,5064,380064,8875457
1956,6974,1083974,0
1957,3610,521961,1446887
1958,3723,28723,4882618
1959,2013139,3527739,6248569
1960,19793,832170,4159978
1961,17281,1330836,4354855
1962,3161,43161,11636018
1963,33191,6129201,7778183
1964,11936,7781052,11290309
1965,1563663,124247296,19948572
1966,13141,11995458,20976857
1967,5953,5948503,11736313
1968,10336,26395456,4235299
1969,4814,11771749,17247845
1970,307969,44083227,17272579
1971,14635,9130338,5811245
1972,4840,216725593,20894014
1973,129003,12237710,14535287
1974,42196,44756362,21853553
1975,22224,51106516,15839362
1976,3038,21982926,18131648
1977,17909,22664277,34398324
1978,9874,52197523,20287032
1979,4487,60669880,14878355
1980,16534,91065730,21177912
1981,110302,34439585,35420483
1982,8765,167834604,25671759
1983,457237,68330949,42251876
1984,8563,62484009,24197748
1985,22425,24275239,26463170
1986,4376,30666491,27422483
1987,13598,373209701,30621519
1988,15035,183248881,27299120
1989,10042,172346580,44931721
1990,7975,93212646,83339431
1991,155802,270450224,70502109
1992,7881,66338292,101256877
1993,10802,171008584,92328546
1994,11742,266334700,74001180
1995,14991,220335364,95215222
1996,14128,215427544,73818881
1997,16238,67124990,59576930
1998,40168,339194425,141638396
1999,48745,277333578,114741095
2000,9431,167358151,72068690
2001,9606,99418464,30139362
2002,10609,656329799,74629363
2003,80419,250815504,90711301
2004,14191,158532245,140027877
2005,14478,153796822,289296760
2006,15706,121725820,39684044
2007,16114,210942711,77656847
2008,147330,174012886,132242807
2009,9261,197534947,51460496
2010,90601,259526864,105494006
2011,10020,207249130,161049283
2012,9054,113258776,163123253
2013,20459,91577138,129664059
2014,7112,138489791,103970661
2015,13311,422788070,92615323
2016,7045,204125296,129816570
2017,8746,101713164,350470494
2018,5789,78561974,135541279
2019,11661,106040277,104432581
2020,14920,97646163,165895326
2021,7705,110784142,245289665
