"year","CO2_FFI","CO2_LULUCF","CH4","N2O","FGAS"
1990,22.72788251,4.979180808,8.17558269,2.006427168,0.3812164239
1991,22.86080545,4.937058542,8.120674461,1.999395979,0.3960996054
1992,22.79732049,4.94476377,8.123179372,2.015709912,0.4032423123
1993,22.89520276,4.950387101,8.111238725,2.011296321,0.4159911627
1994,23.13416088,4.9272148,8.168109724,2.055749538,0.449428755
1995,23.7914179,4.891873362,8.280682804,2.119707508,0.4981287863
1996,24.2389538,4.829820288,8.378518438,2.167586325,0.5319395525
1997,24.6896179,6.553407948,8.372518368,2.15747875,0.5668355833
1998,24.82452641,4.566968268,8.280896218,2.140428419,0.5956115709
1999,25.000547,4.50868201,8.313418717,2.14834785,0.617772269
2000,25.84731809,5.051703985,8.437688419,2.164789167,0.6557050879
2001,26.17158894,4.88591768,8.451550155,2.172865357,0.6601559563
2002,26.53441907,5.500424069,8.447852131,2.197929693,0.7371700979
2003,27.79952681,5.665169111,8.712091033,2.229625958,0.7673936587
2004,29.09254818,5.546851243,8.910542882,2.301323429,0.8480087681
2005,30.17002533,5.194334724,9.091710598,2.324850562,0.9084722877
2006,31.2005699,5.481326271,9.269008517,2.366976959,0.8777858108
2007,32.40603153,4.806163615,9.354685477,2.412959197,0.8791181688
2008,32.62149809,4.975158295,9.515506929,2.389589618,0.8555686484
2009,32.28031605,5.866156573,9.49267165,2.397343508,0.8778740496
2010,34.18072714,5.337316863,9.664249285,2.423693992,0.9427581725
2011,35.18571318,5.06208077,9.863852172,2.489041025,0.998046612
2012,35.70530453,5.444890439,9.999160039,2.516987373,1.05967117
2013,36.17086893,5.620067749,10.05573721,2.561267196,1.112343483
2014,36.3705477,6.043098619,10.13689653,2.565491655,1.192093207
2015,36.38594819,6.248447376,10.18941298,2.58959347,1.153866831
2016,36.46558946,5.698773142,10.23153322,2.613917392,1.20861676
2017,36.93559327,5.573991505,10.37271425,2.625686863,1.277847061
2018,37.71618067,5.690263099,10.45420933,2.626984997,1.344704229
2019,37.91136913,6.605038848,10.56517955,2.658753276,1.350284026
