"iso3c","emis","pop","pcapemis"
"WLD",48116560,7742681934,6.21
"AND",629.9999952,76343,8.3
"ARE",243550.0031,9211657,26.4
"AFG",28639.99939,37769499,0.8
"ATG",1220.000029,92117,13.2
"ALB",9010.000229,2854191,3.2
"ARM",9960.000038,2820602,3.5
"AGO",79680.00031,32353588,2.5
"ARG",369049.9878,44938712,8.2
"AUT",76919.99817,8879920,8.7
"AUS",585979.9805,25340217,23.1
"AZE",54799.99924,10024283,5.5
"BIH",26229.99954,3360711,7.8
"BRB",3789.999962,280180,13.5
"BGD",215940.0024,165516222,1.3
"BEL",108059.9976,11488980,9.4
"BFA",32209.99908,20951639,1.5
"BGR",51279.99878,6975761,7.4
"BHR",54409.99985,1494188,36.4
"BDI",4559.999943,11874838,0.4
"BEN",15020.00046,12290444,1.2
"BRN",9300.000191,438048,21.2
"BOL",60790.00092,11777315,5.2
"BRA",1057260.01,211782878,5
"BHS",3160.000086,404557,7.8
"BTN",1679.999948,767459,2.2
"BWA",11000,2499702,4.4
"BLR",86830.00183,9419758,9.2
"BLZ",1549.999952,389095,4
"CAN",736929.9927,37601230,19.6
"COD",55000,89906890,0.6
"CAF",19729.99954,5209324,3.8
"COG",19200.00076,5570733,3.4
"CHE",46500,8575280,5.4
"CIV",24860.00061,26147551,1
"CHL",113019.9966,19039485,5.9
"CMR",90120.00275,25782341,3.5
"CHN",12705089.84,1407745000,9
"COL",187339.9963,50187406,3.7
"CRI",15750,5084532,3.1
"CUB",41240.00168,11316697,3.6
"CPV",810.0000024,577030,1.4
"CYP",8539.999962,1228836,6.9
"DEU",749710.022,83092962,9
"DJI",1379.999995,1073994,1.3
"DNK",43200.00076,5814422,7.4
"DMA",230.0000042,71428,3.2
"DOM",41319.99969,10881882,3.8
"DZA",282010.0098,42705368,6.6
"ECU",72529.99878,17343740,4.2
"EST",12869.99989,1326898,9.7
"EGY",351769.989,105618671,3.3
"ERI",6329.999924,3498818,1.8
"ESP",306950.0122,47134837,6.5
"ETH",150960.0067,114120594,1.3
"FIN",51479.99954,5521606,9.3
"FJI",2380.000114,918465,2.6
"FSM",259.9999905,111379,2.3
"FRA",414040.0085,67388001,6.1
"GAB",13170.00008,2242785,5.9
"GBR",440079.9866,66836327,6.6
"GRD",2390.000105,122724,19.5
"GEO",17600.00038,3720161,4.7
"GHA",37650.00153,31522290,1.2
"GMB",2339.999914,2508883,0.9
"GIN",28329.99992,12877539,2.2
"GNQ",11409.99985,1553031,7.3
"GRC",78500,10721582,7.3
"GTM",35099.99847,16604026,2.1
"GNB",2579.999924,1970457,1.3
"GUY",5679.999828,798753,7.1
"HND",22389.99939,9958829,2.2
"HRV",22260.00023,4065253,5.5
"HTI",10500,11160438,0.9
"HUN",60590.00015,9771141,6.2
"IDN",1002369.995,269582878,3.7
"IRL",61479.99954,4934340,12.5
"ISR",87180.00031,9054000,9.6
"IND",3394870.117,1383112050,2.5
"IRQ",320820.0073,41563520,7.7
"IRN",893719.9707,86564202,10.3
"ISL",2849.999905,360563,7.9
"ITA",389000,59729081,6.5
"JAM",9970.000267,2813773,3.5
"JOR",36569.99969,10698683,3.4
"JPN",1166510.01,126633000,9.2
"KEN",81010.00214,50951450,1.6
"KGZ",16909.99985,6456200,2.6
"KHM",40060.00137,16207746,2.5
"KIR",119.9999973,124241,1
"COM",639.9999857,790986,0.8
"KNA",349.999994,47712,7.3
"PRK",79339.99634,25755441,3.1
"KOR",698460.022,51764822,13.5
"KWT",136690.0024,4441100,30.8
"KAZ",274670.0134,18513673,14.8
"LAO",29280.00069,7212053,4.1
"LBN",35209.99908,5781907,6.1
"LCA",879.9999952,178583,4.9
"LIE",159.9999964,38482,4.2
"LKA",35990.00168,21803000,1.7
"LBR",2220.000029,4985289,0.4
"LSO",2529.999971,2225702,1.1
"LTU",18930.00031,2794137,6.8
"LUX",10479.99954,620001,16.9
"LVA",11699.99981,1913822,6.1
"LBY",126690.0024,6569088,19.3
"MAR",93080.00183,36304408,2.6
"MDA",13390.00034,2664224,5
"MNE",3829.999924,622028,6.2
"MDG",29579.99992,27533134,1.1
"MHL",230.0000042,44728,5.1
"MKD",11250,2076694,5.4
"MLI",44150.00153,20567424,2.1
"MMR",133250,53040212,2.5
"MNG",56049.99924,3232430,17.3
"MRT",14289.99996,4383849,3.3
"MLT",2140.000105,504062,4.2
"MUS",6849.999905,1265711,5.4
"MDV",2599.999905,504508,5.2
"MWI",10949.99981,18867337,0.6
"MEX",653869.9951,125085311,5.2
"MYS",313019.989,32804020,9.5
"MOZ",35400.00153,30285595,1.2
"NAM",10659.99985,2446644,4.4
"NER",42720.00122,23443393,1.8
"NGA",308179.9927,203304492,1.5
"NIC",18799.99924,6663924,2.8
"NLD",172229.9957,17344874,9.9
"NOR",45900.00153,5347896,8.6
"NPL",44220.00122,28832496,1.5
"NRU",70.0000003,12132,5.8
"NZL",83199.99695,4979200,16.7
"OMN",100260.0021,4602768,21.8
"PAN",20879.99916,4232532,4.9
"PER",100730.0034,32824861,3.1
"PNG",22409.99985,9542486,2.3
"PHL",234279.9988,110380804,2.1
"PAK",432500,223293280,1.9
"POL",353140.0146,37965475,9.3
"PRT",61380.00107,10286263,6
"PLW",289.9999917,17916,16.2
"PRY",49549.99924,6530026,7.6
