"year","lic","lmc","umc","hic"
1990,1682,5649,11006,13410
1991,1691,5749,11032,13446
1992,1692,5760,10878,13458
1993,1693,5790,10856,13540
1994,1706,5847,10749,13760
1995,1722,5981,11097,13954
1996,1718,5831,11194,14348
1997,1751,6891,11171,14561
1998,1793,6184,11350,14544
1999,1794,6235,11218,14590
2000,1801,6218,11563,14869
2001,1742,6405,11390,15035
2002,1783,7012,11839,14920
2003,1829,6864,12680,15055
2004,1841,7408,13673,15239
2005,1911,7302,14528,15236
2006,1919,7926,15388,15215
2007,1948,7683,16194,15384
2008,2004,7807,16685,15075
2009,1994,8350,17019,14308
2010,2035,8240,18216,14815
2011,2263,8949,17748,14463
2012,2306,9180,18211,14314
2013,2313,9270,18694,14341
2014,2339,9891,18753,14189
2015,2338,10042,18677,14149
2016,2336,9681,19499,14301
2017,2320,9899,19821,14297
2018,2322,10412,20171,14356
2020,2208,10412,20168,14352
2025,2332,11674,14421,10902
2030,2591,12966,11170,7836
2035,2896,14262,8610,5214
2040,3178,15335,6514,2910
2045,3492,16263,4827,1027
2050,3704,17176,3166,-558
