"iso3c","pop","ghg","co2","ch4","ghgpercap","co2percap","ch4percap","cumpop_ghg","cumpop_co2","cumpop_ch4"
"UMC",2511059547,21187.04,16025.23,3546.91,8.437490073,6.381859809,1.412515288,3710140133,3710140133,3710140133
"HIC",1199080586,14884.81,11878.69,1780.37,12.4135193,9.906498478,1.484779272,1199080586,1199080586,1199080586
"CHN",1407745000,12705.09,10707.22,1176.14,9.025135944,7.605937155,0.8354780163,2517063601,2414440542,3903829049
"LMC",3309218171,9203.05,5781.14,2392.64,2.78103453,1.746980616,0.7230227432,7019358304,7019358304,7699371772
"USA",328329953,6001.21,4817.72,744.51,18.27798513,14.67340995,2.267566493,464463945,414886397,896834983
"IND",1383112050,3394.87,2456.3,656.65,2.454515525,1.775922638,0.4747626919,6040943397,5755553074,7139403332
"RUS",144406261,2476.84,1703.59,684.3,17.15188789,11.79720317,4.738714203,612102636,653061178,212471109
"JPN",126633000,1166.51,1081.57,27.38,9.211737857,8.540980629,0.2162153625,1109318601,816968764,7649771584
"BRA",211782878,1057.26,434.3,431.07,4.992188273,2.050685136,2.035433667,3765294297,4320930892,1152214099
"LIC",680013468,1012.72,196.95,522.68,1.489264621,0.2896266166,0.7686318354,7699371772,7699371772,4390153601
"IDN",269582878,1002.37,619.84,280.95,3.718225755,2.299255815,1.042165593,4257504548,4051911534,2086747805
"IRN",86564202,893.72,630.01,213.68,10.32436018,7.277950763,2.46845688,799672935,2573493325,556127414
"DEU",83092962,749.71,657.4,48.71,9.022545134,7.911620722,0.5862108995,2600156563,934599149,5384292703
"CAN",37601230,736.93,580.21,101.7,19.598561,15.43061224,2.704698756,127922225,60596226,448806754
"SAU",35827362,723.15,523.78,110.25,20.18429378,14.61955251,3.077256986,90320995,450713759,355819146
"KOR",51764822,698.46,610.79,22.7,13.49294701,11.7993258,0.4385217436,688278428,508654917,7222991388
"MEX",125085311,653.87,449.27,138.8,5.227392367,3.591708702,1.109642682,3503022130,3463435424,1748605357
"AUS",25340217,585.98,386.53,126.07,23.124506,15.25361839,4.975095517,49452817,86556444,68064848
"ZAF",58087055,555.43,439.64,80.13,9.562027202,7.568639863,1.379481194,885485762,2472527597,1368165439
"TUR",83481684,488.47,396.84,48.52,5.851223605,4.753617572,0.5812053336,3273950913,2935783835,5467774387
"VNM",95776716,450.15,336.49,80.48,4.699994099,3.513275607,0.8402877376,3879649955,3570035176,2494757151
"GBR",66836327,440.08,348.92,50.11,6.584443218,5.220514287,0.7497419779,2895252116,2774519368,4152606016
"PAK",223293280,432.5,190.57,162.76,1.936914537,0.8534515683,0.7289068439,6549561882,6308945912,4606294943
"THA",71307763,422.09,267.09,70.19,5.91927137,3.745594992,0.9843248063,3188226444,3293411401,2206965139
"FRA",67388001,414.04,300.52,59.66,6.144120524,4.459547628,0.8853208155,3079897204,3013583720,2308552142
"ITA",59729081,389,317.24,44.35,6.512740419,5.311315605,0.7425193768,2954981197,2707635329,4224494866
"ARG",44938712,369.05,168.1,128.8,8.212295893,3.740650155,2.866125758,2695316352,3338350113,411205524
"POL",37965475,353.14,295.13,29,9.301608896,7.77364171,0.7638518944,973265843,972564624,4064818050
"EGY",105618671,351.77,249.37,75.13,3.33056643,2.361040881,0.7113325635,4434175362,3769387188,4832508784
"IRQ",41563520,320.82,174.56,134.69,7.718788014,4.19983678,3.240582126,2743191713,3074609084,315057444
"MYS",32804020,313.02,253.27,36.81,9.542123191,7.720700085,1.12211857,918289782,1005368644,1602934706
"NGA",203304492,308.18,115.28,135.84,1.515854357,0.5670312489,0.6681603474,6943666254,6690831594,5089103206
"ESP",47134837,306.95,239.98,39.28,6.512168484,5.091351011,0.8333538949,3002116034,2827468627,3950963886
"DZA",42705368,282.01,171.25,92.34,6.603619479,4.010034523,2.162257447,2828415789,3125345106,940431221
"KAZ",18513673,274.67,212.11,48.89,14.83606197,11.4569378,2.640750974,636233426,671574851,467320427
"VEN",28971683,255.74,112.34,119.24,8.827240033,3.877579359,4.115742948,2636073481,3202731990,254095541
"ARE",9211657,243.55,188.86,49.8,26.43932574,20.50228314,5.406193479,17954180,17954180,42724631
"PHL",110380804,234.28,145.42,64.73,2.122470498,1.317439217,0.5864244294,6269649274,5968290966,5301199741
"UKR",44386203,233.26,174.73,32.68,5.255236633,3.936583627,0.7362648254,3377936819,3173721825,4383001663
"BGD",165516222,215.94,90.74,92.65,1.304645535,0.5482242097,0.5597638641,7286398129,6856347816,5703230080
"UZB",33580350,188.76,116.71,53.98,5.621144509,3.475544478,1.607487712,3307543395,3603615526,1213291615
"COL",50187406,187.34,81.04,76.84,3.732808984,1.614747732,1.531061398,3987921670,5850369647,1288918965
"NLD",17344874,172.23,146.34,15.54,9.92973486,8.437074838,0.8959419365,817017809,834313638,2241164141
"TKM",6158420,157.33,72.87,80.48,25.54713709,11.83258043,13.068287,24112600,456890095,6281144
"ETH",114120594,150.96,18.36,84.14,1.322811201,0.1608824434,0.7372902388,7118911450,7426526542,4338615460
"KWT",4441100,136.69,92.65,24.71,30.77841075,20.86194862,5.563936862,8742523,8742523,33512974
"MMR",53040212,133.25,36.72,73.05,2.512244861,0.6923049252,1.377256939,4609270013,6427409183,1421205651
"LBY",6569088,126.69,56.8,63.35,19.28578214,8.646557939,9.643652209,134614037,690335764,14344420
"CZE",10671870,116.59,96.29,12.44,10.92498316,9.022786072,1.165681366,709680324,683766676,1501709454
"QAT",2807235,114.76,91.97,21.45,40.88008307,32.76177449,7.640970564,2807235,2807235,17431835
"CHL",19039485,113.02,91.37,11.59,5.936084931,4.798974342,0.6087349527,3116918681,2852302151,5139438577
"BEL",11488980,108.06,93.01,8.08,9.405534695,8.095583768,0.7032826239,929778762,851506187,4859998545
"SDN",43232093,106.06,20.62,55.38,2.453270074,0.476960484,1.280992803,6084175490,6901535340,1470641261
"ROU",19371648,101.24,73.95,16.76,5.226194488,3.817434634,0.8651819401,3522393778,3222103638,2338645372
"PER",32824861,100.73,56.75,32.51,3.068710634,1.728872515,0.9904078497,4505466493,5789296400,2124340679
"OMN",4602768,100.26,76.03,20.24,21.78254476,16.51832115,4.39735394,54055585,22556948,225123858
"MAR",36304408,93.08,71.48,12.16,2.56387599,1.968906916,0.3349455526,4556229801,4357235300,7481382308
"CMR",25782341,90.12,9.43,15.55,3.495415719,0.3657542191,0.6031259923,4300237961,7053494635,5175232914
"ISR",9054000,87.18,62.65,9.74,9.628893307,6.91959355,1.075767617,827398707,2591118652,1806454056
"BLR",9419758,86.83,57.67,17.02,9.217858888,6.12223796,1.806840473,982685601,2623433805,1166843181
"TZA",59872579,84,12.45,43.64,1.402979484,0.2079416021,0.7288812463,7004115863,7262218326,4666167522
"NZL",4979200,83.2,34.01,32.52,16.70951157,6.830414524,6.531169666,617701837,2596097852,22411035
"TCD",16126866,81.65,2.25,52.72,5.062979999,0.1395187385,3.269079063,3550847195,7470186542,273493924
"KEN",50951450,81.01,22.28,36.84,1.589944938,0.4372790176,0.7230412481,6674596327,6981319286,4717118972
"AGO",32353588,79.68,25.21,35.09,2.462787126,0.7792026034,1.084578316,4657831347,6358675523,1794605919
"PRK",25755441,79.34,56.04,18.08,3.080514133,2.17585092,0.7019875917,4472641632,4109148014,4885753986
"GRC",10721582,78.5,60,9.34,7.3216807,5.59618907,0.8711400985,2775434548,2647906248,2319273724
"AUT",8879920,76.92,64.77,6.92,8.6622402,7.29398463,0.7792862999,2644953401,2486929123,4016893746
"ECU",17343740,72.53,39.29,27.17,4.181912321,2.265370676,1.566559462,3914003428,4080571971,1235019204
"SGP",5703569,67.23,47.38,4.25,11.7873563,8.307079304,0.7451474682,699008454,840017207,4158309585
"SRB",6945235,61.93,45.95,11.54,8.9169049,6.616046829,1.661570847,2607101798,2608390983,1179711265
"IRL",4934340,61.48,35.75,15.46,12.45961973,7.245143221,3.133144453,693304885,2578427665,319991784
"PRT",10286263,61.38,44.64,11.35,5.967181667,4.339768485,1.103413358,3097879196,3033045564,1758891620
"BOL",11777315,60.79,22.34,28.36,5.161617907,1.896866985,2.408019145,3534171093,4369012615,567904729
"HUN",9771141,60.59,46.38,7,6.200913486,4.746630921,0.7163953524,3011887175,2945554976,4726890113
"MNG",3232430,56.05,23.07,18.79,17.33989599,7.137045504,5.812964241,467696375,2581660095,29071874
"COD",89906890,55,3.21,34.93,0.6117439943,0.03570360403,0.3885130494,7650738068,7699300560,7351171839
"AZE",10024283,54.8,35.51,14.67,5.466725151,3.542397995,1.463446313,3321632931,3474258460,1299482394
"BHR",1494188,54.41,33.26,17.41,36.4144271,22.25958179,11.65181356,4301423,4301423,7775332
"FIN",5521606,51.48,40.71,4.64,9.323374395,7.372854927,0.8403352213,935300368,2478049203,2398980435
"BGR",6975761,51.28,39.14,6.84,7.351169285,5.610857367,0.9805381807,2763112223,2637184666,2213940900
"SSD",10447666,50.91,1.7,30.17,4.872858684,0.1627157683,2.887726311,3780153078,7274636449,366266812
"PRY",6530026,49.55,8.21,29.17,7.588024918,1.257269113,4.467057252,2749721739,6000489976,220521090
"SYR",20098251,48.48,25.71,17.04,2.412150192,1.279215788,0.8478349683,6104273741,5993959950,2393458829
"CHE",8575280,46.5,37.38,5.04,5.422563461,4.359041337,0.5877359107,3330208211,3022759301,5190818937
"SWE",10278887,46.19,35,4.77,4.493677185,3.405037919,0.464058025,3891209280,3615447444,7163068359
"NOR",5347896,45.9,35.95,4.54,8.582814625,6.722269842,0.8489319912,2650301297,2601445748,2373360578
"NPL",28832496,44.22,13.45,23.55,1.533686157,0.4664875355,0.8167867256,6740361762,6930367836,4000059977
"MLI",20567424,44.15,5.83,22.96,2.146598427,0.2834579576,1.116328423,6159268470,7140115523,1623502130
"UGA",42949080,43.29,5.86,23.98,1.007937772,0.1364406409,0.5583355918,7434278368,7513135622,5746179160
"DNK",5814422,43.2,29.7,7.78,7.429801277,5.107988378,1.338052174,2755536161,2780333790,1427409168
"NER",23443393,42.72,2.15,27.26,1.82226182,0.09171027419,1.162800965,6598343059,7557460871,1525152847
"TUN",12049314,41.59,29.91,6.87,3.451648783,2.482298992,0.5701569401,4312287275,3663592165,5537642430
"DOM",10881882,41.32,27.23,9.31,3.797137297,2.502324506,0.855550538,3932524940,3651542851,2349632205
"CUB",11316697,41.24,25.91,11.15,3.644172854,2.289537309,0.9852698186,4268821245,4063228231,2135657376
"KHM",16207746,40.06,16.18,18.2,2.471657688,0.9982881025,1.122919868,4625477759,6081257827,1570130686
"SVK",5454147,38.06,31.08,4.41,6.978176422,5.698416269,0.8085590652,2781687448,2630116788,4005514124
"GHA",31522290,37.65,20.04,10.9,1.19439292,0.635740614,0.3457870605,7331284857,6475236658,7404497129
"ZMB",18380477,37.57,6.8,15.62,2.044016594,0.3699577546,0.8498147246,6304633777,7027712294,2368012682
"JOR",10698683,36.57,24.63,6.71,3.418177733,2.302152517,0.6271799996,4328556691,3782328656,5101953613
"URY",3428409,36.12,6.49,20.74,10.53549912,1.893006348,6.04945326,713108733,4372441024,25839444
"LKA",21803000,35.99,23.78,8.22,1.650690272,1.090675595,0.3770123378,6623644877,6045754249,7372974839
"MOZ",30285595,35.4,7.5,17.54,1.168872528,0.2476424848,0.5791532245,7361570452,7173899936,5525593116
"LBN",5781907,35.21,27.95,3.41,6.089686327,4.834045238,0.5897708144,3087592933,2833262666,5182243657
"GTM",16604026,35.1,19.31,10.39,2.113945136,1.162970957,0.6257518508,6286253300,6023374219,5118557639
"BFA",20951639,32.21,5,15.85,1.537349894,0.2386448144,0.7565040616,6711529266,7194851575,4085769689
"ZWE",15354608,30.53,11.76,12.55,1.988328194,0.7658938607,0.8173442135,6326268602,6374030131,3971227481
"MDG",27533134,29.58,4.12,15.95,1.074341918,0.1496378872,0.5793020148,7391329288,7454059676,5495307521
"LAO",7212053,29.28,18.71,7.56,4.059870331,2.594268234,1.048245208,3921253963,3640660969,1817164927
"SEN",16000781,29.23,10.62,11.27,1.82678583,0.6637176023,0.7043406194,6574899666,6443714368,4848509565
"AFG",37769499,28.64,6.08,16.37,0.7582838205,0.1609764535,0.4334185105,7552784350,7312405948,7261264949
"TTO",1519955,28.34,17.19,7.01,18.64528884,11.30954535,4.611978644,136133992,673094806,213991064
"GIN",12877539,28.33,3.95,16.25,2.19995451,0.306735627,1.261887073,6137933587,7100144567,1483518800
"BIH",3360711,26.23,21.07,3.66,7.804896047,6.269506661,1.089055262,2701628193,2613916422,1762252331
"YEM",31546691,25.26,11.1,10.61,0.8007178946,0.3518594074,0.336326875,7515014851,7085041326,7445077900
"SOM",15981300,25.15,0.69,17.98,1.573714279,0.04317546132,1.12506492,6690577627,7609393670,1553922940
"CIV",26147551,24.86,10.83,7.23,0.9507582565,0.4141879291,0.2765077311,7468793254,7007466837,7522634076
"PNG",9542486,22.41,7.58,10.86,2.34844463,0.794342271,1.138068214,6114985840,6319658011,1534695333
"HND",9958829,22.39,10.22,7.67,2.248256296,1.026225071,0.7701708705,6125056048,6055713078,4026852575
"HRV",4065253,22.26,16.52,3.68,5.475673962,4.06370772,0.9052327125,3311608648,3082595010,2223199266
"PAN",4232532,20.88,13.34,4.96,4.93321728,3.151777707,1.171875369,3769526829,3624113973,1491037584
"CAF",5209324,19.73,0.24,9.51,3.787439599,0.04607123688,1.825572761,3937734264,7593412370,1157423423
"COG",5570733,19.2,7.26,9.26,3.446584139,1.303239628,1.662258809,4317858008,5973861699,1172766030
"LTU",2794137,18.93,11.73,3.03,6.774900443,4.198076186,1.084413542,2785710421,3077403221,1797400056
"NIC",6663924,18.8,5.24,9.42,2.821160625,0.7863234935,1.413581547,4512539772,6326321935,1306358223
"GEO",3720161,17.6,10.11,5.19,4.730978041,2.717624318,1.395100911,3783873239,3633326192,1310078384
"TJK",9337003,17.51,9.42,5.66,1.875334087,1.008889041,0.6061902304,6558898885,6065050081,5149450573
"KGZ",6456200,16.91,10.05,4.8,2.619187758,1.556643227,0.7434713918,4519006928,5856825847,4164765785
"SVN",2088385,16.46,13.6,1.73,7.881688482,6.512209195,0.8283913167,2697862925,2610555711,3953052271
"CRI",5084532,15.75,8.24,4.69,3.097630224,1.620601463,0.9224054446,4446886191,5800070862,2219025432
"BEN",12290444,15.02,7.3,3.91,1.222087664,0.5939573867,0.31813334,7299762567,6487527102,7493672752
"MRT",4383849,14.29,3.95,7.01,3.259692567,0.9010346844,1.599051427,4438559211,6085652632,1217675464
"MDA",2664224,13.39,8.86,3.34,5.025853682,3.3255462,1.253648342,3553511419,3618111668,1486805052
"GAB",2242785,13.17,5.25,5.87,5.872163404,2.340839626,2.617281639,3190469229,3771629973,469563212
"EST",1326898,12.87,10.18,1.11,9.699313738,7.672029048,0.8365375485,818344707,1006695542,2496084049
"SLV",6280217,12.82,7.8,3.48,2.041330737,1.2419953,0.5541209802,6310913994,6006770193,5752459377
"LVA",1913822,11.7,7.57,1.98,6.113421206,3.955435772,1.034578973,3081811026,3129335622,2088661627
"GNQ",1553031,11.41,5.35,5.67,7.346923532,3.444876503,3.650925191,2764665254,3605168557,256929010
"MKD",2076694,11.25,8.3,2.35,5.417264171,3.996737122,1.131606293,3332284905,3127421800,1537941640
"BWA",2499702,11,7.25,2.02,4.400524543,2.900345721,0.8080963251,3893708982,3629606031,4008013826
"MWI",18867337,10.95,1.45,3.95,0.5803680721,0.07685239311,0.2093565192,7669605405,7576328208,7668638921
"NAM",2446644,10.66,4.22,3.79,4.356988593,1.72481162,1.549060672,3896155626,5791743044,1237465848
"HTI",11160438,10.5,3.32,5.28,0.9408232903,0.2974793642,0.4730997117,7479953692,7111305005,7150563770
"LUX",620001,10.48,9.49,0.56,16.90319854,15.30642693,0.9032243496,612722637,61216227,2223819267
"JAM",2813773,9.97,8.39,0.79,3.543285119,2.9817615,0.2807618099,4271635018,3627106329,7496486525
"ARM",2820602,9.96,6.17,2.32,3.531161078,2.187476291,0.822519448,4274455620,4083392573,3955872873
"BRN",438048,9.3,6.99,1.59,21.23055008,15.95715538,3.629739207,54493633,22994996,257367058
"ALB",2854191,9.01,4.83,2.85,3.156761408,1.692248346,0.998531633,4441801659,5794597235,2091515818
"CYP",1228836,8.54,7.19,0.74,6.949666188,5.851065561,0.6021958992,2782916284,2624662641,5176461750
"TGO",8243094,7.89,2.37,2.81,0.9571648704,0.2875134021,0.3408914177,7442645703,7119548099,7413531209
"MUS",1265711,6.85,4.17,1.95,5.411977932,3.294590945,1.540636054,3333550616,3619377379,1238731559
"ERI",3498818,6.33,0.88,3.68,1.809182415,0.2515135111,1.051783774,6601841877,7143614341,1809952874
"SLE",8046828,6.08,0.9,3.71,0.7555772287,0.1118453135,0.4610512366,7560831178,7521182450,7171115187
"TLS",1280438,5.91,0.62,5.01,4.615608097,0.4842093096,3.912723615,3880930393,6858303247,255375979
"GUY",798753,5.68,2.85,1.81,7.111084403,3.568061716,2.266032178,2776233301,3464234177,897633736
"RWA",12835028,5.34,1.33,1.88,0.416048956,0.1036226801,0.1464741643,7687425722,7534017478,7682175220
"BDI",11874838,4.56,0.72,1.35,0.3840052386,0.0606324061,0.1136857614,7699300560,7588203046,7694050058
"SUR",600301,4.46,2.65,1.42,7.429606148,4.414452083,2.365479984,2756136462,3014184021,568505030
"MNE",622028,3.83,2.6,0.78,6.157279094,4.179876147,1.253962844,3012509203,3078529757,1484140828
"BRB",280180,3.79,1.25,2.35,13.52701835,4.46141766,8.387465201,636513606,2946195719,14624600
"BHS",404557,3.16,2.84,0.22,7.811013034,7.020024372,0.5438047049,2698267482,2582064652,5752863934
"ISL",360563,2.85,1.64,0.53,7.904305212,4.548442297,1.469923425,2695774540,2945915539,1289458111
"SWZ",1169613,2.79,0.96,1.33,2.385404403,0.8207843107,1.137128264,6105443354,6310115525,1535864946
"MDV",504508,2.6,2.11,0.13,5.153535722,4.182292451,0.2576767861,3534675601,3077907729,7523138584
"GNB",1970457,2.58,0.33,1.29,1.30934093,0.1674738398,0.6546704648,7120881907,7264188783,5091254930
"LSO",2225702,2.53,0.77,1.04,1.13672001,0.345958264,0.4672683046,7363796154,7087267028,7152789472
"GRD",122724,2.39,0.33,2.04,19.4745934,2.688960595,16.62266549,128044949,3633448916,122724
"FJI",918465,2.38,1.63,0.45,2.591280016,1.774700179,0.4899479022,4519925393,5756471539,5756291282
"GMB",2508883,2.34,0.58,1.3,0.9326859802,0.2311785763,0.5181588779,7482462575,7202345747,5755372817
"LBR",4985289,2.22,1.18,0.37,0.4453101916,0.2366964082,0.07421836527,7674590694,7199836864,7699035347
"MLT",504062,2.14,1.66,0.22,4.245509481,3.293245672,0.4364542457,3896659688,3619881441,7223495450
"BTN",767459,1.68,1.05,0.47,2.18904202,1.368151263,0.6124105653,6138701046,5857910162,5120399092
