"month","year","value"
1,2019,338.4
1,2020,307.9
1,2021,311.9
1,2022,312.4
2,2019,289.3
2,2020,263.1
2,2021,270.8
2,2022,272.4
3,2019,286.8
3,2020,257.6
3,2021,284.9
3,2022,308.8
4,2019,264.8
4,2020,184.6
4,2021,265.8
4,2022,265.9
5,2019,259.3
5,2020,191.5
5,2021,236.6
5,2022,247.8
6,2019,233.6
6,2020,204.3
6,2021,222.6
6,2022,242.5
7,2019,246.9
7,2020,220.7
7,2021,229.6
7,2022,243.1
8,2019,232.1
8,2020,213.8
8,2021,215.4
8,2022,234.7
9,2019,248.8
9,2020,239.1
9,2021,251.1
9,2022,266.1
10,2019,279.9
10,2020,258.8
10,2021,273.9
10,2022,266.4
11,2019,301.9
11,2020,275.6
11,2021,306.8
11,2022,293.4
12,2019,293.3
12,2020,293.1
12,2021,315.9
12,2022,315.7
