"iso3c","emissions","status"
"QAT",114.76,"No Document Submitted"
"BHR",54.41,"In Political Pledge"
"KWT",136.69,"No Document Submitted"
"TKM",157.33,"No Document Submitted"
"ARE",243.55,"In Policy Document"
"AUS",585.98,"In Law"
"BRN",9.3,"No Document Submitted"
"GRD",2.39,"No Document Submitted"
"SAU",723.15,"In Political Pledge"
"TTO",28.34,"No Document Submitted"
"OMN",100.26,"No Document Submitted"
"CAN",736.93,"In Law"
"LBY",126.69,"No Document Submitted"
"USA",6001.21,"In Policy Document"
"MNG",56.05,"No Document Submitted"
"RUS",2476.84,"In Law"
"LUX",10.48,"In Law"
"NZL",83.2,"In Law"
"PLW",0.29,"No Document Submitted"
"KAZ",274.67,"In Political Pledge"
"KOR",698.46,"In Law"
"BRB",3.79,"In Political Pledge"
"ATG",1.22,"In Policy Document"
"IRL",61.48,"In Law"
"SGP",67.23,"In Policy Document"
"CZE",116.59,"In Law"
"IRN",893.72,"No Document Submitted"
"URY",36.12,"In Policy Document"
"NLD",172.23,"In Law"
"MYS",313.02,"In Policy Document"
"EST",12.87,"In Political Pledge"
"ISR",87.18,"In Political Pledge"
"ZAF",555.43,"In Policy Document"
"BEL",108.06,"In Law"
"FIN",51.48,"In Law"
"POL",353.14,"In Law"
"JPN",1166.51,"In Law"
"BLR",86.83,"No Document Submitted"
"CHN",12705.09,"In Policy Document"
"DEU",749.71,"In Law"
"VEN",255.74,"No Document Submitted"
"SRB",61.93,"No Document Submitted"
"AUT",76.92,"In Policy Document"
"NOR",45.9,"No Document Submitted"
"GNQ",11.41,"No Document Submitted"
"ARG",369.05,"In Policy Document"
"AND",0.63,"In Policy Document"
"IRQ",320.82,"No Document Submitted"
"BHS",3.16,"No Document Submitted"
"SYC",0.78,"In Policy Document"
"BIH",26.23,"No Document Submitted"
"ISL",2.85,"In Law"
"SVN",16.46,"In Policy Document"
"SUR",4.46,"No Document Submitted"
"DNK",43.2,"In Law"
"BGR",51.28,"In Political Pledge"
"GRC",78.5,"In Law"
"GUY",5.68,"In Political Pledge"
"CYP",8.54,"In Political Pledge"
