"source","target","value"
"HIC","nodoc",0.912201537
"HIC","pledge",1.849695822
"HIC","policy",14.53468411
"HIC","law",13.63831912
"UMC","nodoc",4.497619946
"UMC","pledge",1.752722971
"UMC","policy",32.63481429
"UMC","law",5.147583285
"LMC","nodoc",7.251619817
"LMC","pledge",0.96523941
"LMC","policy",10.90971591
"LIC","nodoc",2.061390091
"LIC","pledge",0.033855288
"LIC","policy",0.009476987
"unknown","nodoc",3.801061423
"law","achieved",0
"law","≥2030",0.106990192
"law","≥2040",1.66003139
"law","≥2050",17.01888082
"policy","achieved",0.032192659
"policy","≥2040",0.094437341
"policy","≥2050",57.96206129
"pledge","achieved",0.011804668
"pledge","≥2030",0.042978966
"pledge","≥2050",4.546729858
"nodoc","notarget",18.52389281
