"year","temp","x5","x95","series"
1995,0.65,0.46,0.79,"reconstructed"
1994,0.64,0.46,0.77,"reconstructed"
1993,0.62,0.45,0.76,"reconstructed"
1992,0.61,0.45,0.74,"reconstructed"
1991,0.59,0.44,0.71,"reconstructed"
1990,0.58,0.43,0.7,"reconstructed"
1989,0.56,0.41,0.68,"reconstructed"
1988,0.54,0.39,0.66,"reconstructed"
1987,0.52,0.38,0.64,"reconstructed"
1986,0.5,0.36,0.62,"reconstructed"
1985,0.48,0.34,0.6,"reconstructed"
1984,0.46,0.33,0.58,"reconstructed"
1983,0.45,0.32,0.57,"reconstructed"
1982,0.43,0.31,0.56,"reconstructed"
1981,0.42,0.3,0.54,"reconstructed"
1980,0.41,0.29,0.53,"reconstructed"
1979,0.4,0.27,0.52,"reconstructed"
1978,0.38,0.26,0.51,"reconstructed"
1977,0.36,0.25,0.5,"reconstructed"
1976,0.35,0.24,0.48,"reconstructed"
1975,0.33,0.22,0.47,"reconstructed"
1974,0.32,0.21,0.46,"reconstructed"
1973,0.3,0.2,0.45,"reconstructed"
1972,0.3,0.19,0.44,"reconstructed"
1971,0.29,0.19,0.43,"reconstructed"
1970,0.29,0.18,0.43,"reconstructed"
1969,0.29,0.18,0.42,"reconstructed"
1968,0.29,0.17,0.42,"reconstructed"
1967,0.3,0.17,0.41,"reconstructed"
1966,0.3,0.17,0.42,"reconstructed"
1965,0.3,0.17,0.42,"reconstructed"
1964,0.31,0.17,0.42,"reconstructed"
1963,0.31,0.18,0.43,"reconstructed"
1962,0.32,0.18,0.43,"reconstructed"
1961,0.32,0.19,0.44,"reconstructed"
1960,0.33,0.2,0.45,"reconstructed"
1959,0.33,0.2,0.45,"reconstructed"
1958,0.34,0.21,0.46,"reconstructed"
1957,0.34,0.21,0.46,"reconstructed"
1956,0.34,0.21,0.46,"reconstructed"
1955,0.34,0.21,0.46,"reconstructed"
1954,0.34,0.2,0.45,"reconstructed"
1953,0.33,0.2,0.45,"reconstructed"
1952,0.33,0.2,0.45,"reconstructed"
1951,0.33,0.19,0.44,"reconstructed"
1950,0.33,0.19,0.44,"reconstructed"
1949,0.33,0.19,0.44,"reconstructed"
1948,0.33,0.18,0.43,"reconstructed"
1947,0.33,0.18,0.43,"reconstructed"
1946,0.33,0.18,0.43,"reconstructed"
1945,0.34,0.17,0.43,"reconstructed"
1944,0.34,0.17,0.43,"reconstructed"
1943,0.35,0.17,0.44,"reconstructed"
1942,0.35,0.17,0.44,"reconstructed"
1941,0.36,0.17,0.45,"reconstructed"
1940,0.35,0.17,0.45,"reconstructed"
1939,0.35,0.16,0.45,"reconstructed"
1938,0.34,0.16,0.45,"reconstructed"
1937,0.33,0.15,0.44,"reconstructed"
1936,0.31,0.14,0.43,"reconstructed"
1935,0.29,0.13,0.42,"reconstructed"
1934,0.28,0.12,0.4,"reconstructed"
1933,0.26,0.11,0.39,"reconstructed"
1932,0.24,0.09,0.37,"reconstructed"
1931,0.23,0.08,0.36,"reconstructed"
1930,0.22,0.07,0.34,"reconstructed"
1929,0.2,0.06,0.32,"reconstructed"
1928,0.19,0.05,0.31,"reconstructed"
1927,0.18,0.04,0.3,"reconstructed"
1926,0.17,0.03,0.28,"reconstructed"
1925,0.16,0.02,0.27,"reconstructed"
1924,0.15,0.01,0.26,"reconstructed"
1923,0.14,-0.01,0.25,"reconstructed"
1922,0.12,-0.02,0.23,"reconstructed"
1921,0.11,-0.03,0.22,"reconstructed"
1920,0.09,-0.04,0.21,"reconstructed"
1919,0.08,-0.06,0.19,"reconstructed"
1918,0.06,-0.07,0.18,"reconstructed"
1917,0.05,-0.09,0.17,"reconstructed"
1916,0.03,-0.1,0.15,"reconstructed"
1915,0.02,-0.12,0.14,"reconstructed"
1914,0.01,-0.13,0.13,"reconstructed"
1913,0,-0.14,0.11,"reconstructed"
1912,-0.01,-0.15,0.1,"reconstructed"
1911,-0.02,-0.17,0.1,"reconstructed"
1910,-0.02,-0.17,0.09,"reconstructed"
1909,-0.01,-0.18,0.09,"reconstructed"
1908,-0.01,-0.19,0.09,"reconstructed"
1907,-0.01,-0.19,0.09,"reconstructed"
1906,0,-0.19,0.1,"reconstructed"
1905,0.01,-0.18,0.11,"reconstructed"
