"scenario","year","value","iso3c"
"curpol",2020,0.2465442866,"ABW"
"curpol",2025,0.256916672,"ABW"
"curpol",2030,0.2811890543,"ABW"
"curpol",2035,0.3155852556,"ABW"
"curpol",2040,0.3559736311,"ABW"
"curpol",2045,0.4092723429,"ABW"
"curpol",2050,0.436635524,"ABW"
"curpol",2020,15.04103088,"AFG"
"curpol",2025,18.75630951,"AFG"
"curpol",2030,22.93223953,"AFG"
"curpol",2035,30.32114029,"AFG"
"curpol",2040,42.35067749,"AFG"
"curpol",2045,51.97770309,"AFG"
"curpol",2050,60.10632706,"AFG"
"curpol",2020,135.9461365,"AGO"
"curpol",2025,136.7262573,"AGO"
"curpol",2030,136.9608765,"AGO"
"curpol",2035,132.2112122,"AGO"
"curpol",2040,125.5755157,"AGO"
"curpol",2045,121.8090363,"AGO"
"curpol",2050,117.4345322,"AGO"
"curpol",2020,11.70463276,"ALB"
"curpol",2025,17.81862068,"ALB"
"curpol",2030,25.46133232,"ALB"
"curpol",2035,28.30174065,"ALB"
"curpol",2040,29.78987312,"ALB"
"curpol",2045,31.56019783,"ALB"
"curpol",2050,32.1402626,"ALB"
"curpol",2020,221.5949097,"ARE"
"curpol",2025,206.5350342,"ARE"
"curpol",2030,204.8306427,"ARE"
"curpol",2035,202.0921326,"ARE"
"curpol",2040,200.9874268,"ARE"
"curpol",2045,217.1564636,"ARE"
"curpol",2050,104.3134079,"ARE"
"curpol",2020,323.9187622,"ARG"
"curpol",2025,339.8381653,"ARG"
"curpol",2030,366.1900024,"ARG"
"curpol",2035,381.5890503,"ARG"
"curpol",2040,383.4856873,"ARG"
"curpol",2045,397.6095276,"ARG"
"curpol",2050,402.1708679,"ARG"
"curpol",2020,16.21953964,"ARM"
"curpol",2025,15.37411118,"ARM"
"curpol",2030,15.83469486,"ARM"
"curpol",2035,17.24842262,"ARM"
"curpol",2040,17.19391251,"ARM"
"curpol",2045,18.30012131,"ARM"
"curpol",2050,18.14846039,"ARM"
"curpol",2020,474.1567688,"AUS"
"curpol",2025,488.5329285,"AUS"
"curpol",2030,510.3669739,"AUS"
"curpol",2035,493.3506775,"AUS"
"curpol",2040,495.0161743,"AUS"
"curpol",2045,507.4729614,"AUS"
"curpol",2050,515.6105347,"AUS"
"curpol",2020,62.91796494,"AUT"
"curpol",2025,57.61426163,"AUT"
"curpol",2030,48.2226944,"AUT"
"curpol",2035,49.00224686,"AUT"
"curpol",2040,49.18102264,"AUT"
