"year","variable","value"
1850,"sim.human.mean",-0.047589067
1850,"sim.human.bottom",-0.354805453
1850,"sim.human.top",0.189713425
1850,"sim.natural.mean",0.014601711
1850,"sim.natural.bottom",-0.161194852
1850,"sim.natural.top",0.196198251
1850,"observed",-0.059
1851,"sim.human.mean",-0.0587609
1851,"sim.human.bottom",-0.313444988
1851,"sim.human.top",0.149283344
1851,"sim.natural.mean",0.024195142
1851,"sim.natural.bottom",-0.132960808
1851,"sim.natural.top",0.179927922
1851,"observed",0.049
1852,"sim.human.mean",-0.002935225
1852,"sim.human.bottom",-0.174405998
1852,"sim.human.top",0.198392534
1852,"sim.natural.mean",0.052558101
1852,"sim.natural.bottom",-0.202665503
1852,"sim.natural.top",0.221705736
1852,"observed",0.079
1853,"sim.human.mean",-0.005929254
1853,"sim.human.bottom",-0.214802082
1853,"sim.human.top",0.217604497
1853,"sim.natural.mean",0.029406348
1853,"sim.natural.bottom",-0.266415836
1853,"sim.natural.top",0.178987378
1853,"observed",0.046
1854,"sim.human.mean",-0.02661051
1854,"sim.human.bottom",-0.22444698
1854,"sim.human.top",0.221410287
1854,"sim.natural.mean",-0.009960666
1854,"sim.natural.bottom",-0.255841263
1854,"sim.natural.top",0.152484503
1854,"observed",0.049
1855,"sim.human.mean",-0.040779637
1855,"sim.human.bottom",-0.296848854
1855,"sim.human.top",0.176621462
1855,"sim.natural.mean",0.021857917
1855,"sim.natural.bottom",-0.140246015
1855,"sim.natural.top",0.172700841
1855,"observed",0.049
1856,"sim.human.mean",-0.018319423
1856,"sim.human.bottom",-0.244318593
1856,"sim.human.top",0.15992075
1856,"sim.natural.mean",0.045474761
1856,"sim.natural.bottom",-0.149765947
1856,"sim.natural.top",0.237740286
1856,"observed",-0.051
1857,"sim.human.mean",-0.006555268
1857,"sim.human.bottom",-0.241976795
1857,"sim.human.top",0.163118579
1857,"sim.natural.mean",0.050381633
1857,"sim.natural.bottom",-0.164955333
1857,"sim.natural.top",0.23089861
1857,"observed",-0.146
1858,"sim.human.mean",-0.00164062
1858,"sim.human.bottom",-0.172899363
1858,"sim.human.top",0.151385153
1858,"sim.natural.mean",0.045669269
1858,"sim.natural.bottom",-0.165621024
1858,"sim.natural.top",0.240100625
1858,"observed",-0.039
1859,"sim.human.mean",0.047702436
1859,"sim.human.bottom",-0.162034514
1859,"sim.human.top",0.268041057
1859,"sim.natural.mean",0.023078907
1859,"sim.natural.bottom",-0.190080711
1859,"sim.natural.top",0.229366525
1859,"observed",0.069
1860,"sim.human.mean",0.027734896
1860,"sim.human.bottom",-0.133395428
1860,"sim.human.top",0.254483192
1860,"sim.natural.mean",0.03542896
1860,"sim.natural.bottom",-0.211806384
1860,"sim.natural.top",0.26159585
1860,"observed",-0.056
1861,"sim.human.mean",-0.002071792
1861,"sim.human.bottom",-0.168510454
1861,"sim.human.top",0.162532951
1861,"sim.natural.mean",0.022121782
1861,"sim.natural.bottom",-0.171526957
1861,"sim.natural.top",0.213562632
1861,"observed",-0.091
1862,"sim.human.mean",-0.065181407
1862,"sim.human.bottom",-0.292773735
1862,"sim.human.top",0.113183863
1862,"sim.natural.mean",-0.04920704
1862,"sim.natural.bottom",-0.226483793
1862,"sim.natural.top",0.153153594
1862,"observed",-0.154
1863,"sim.human.mean",-0.058304831
1863,"sim.human.bottom",-0.314808842
1863,"sim.human.top",0.129526023
1863,"sim.natural.mean",-0.03011481
1863,"sim.natural.bottom",-0.167196533
1863,"sim.natural.top",0.147960584
1863,"observed",0.001
1864,"sim.human.mean",-0.018636125
1864,"sim.human.bottom",-0.198632338
