"year","top","rest","lic","lmc","umc","hic"
1990,20599.7,11147.2,1682,5649,11006,13410
1991,20648.5,11269.8,1691,5749,11032,13446
1992,20556.8,11231.3,1692,5760,10878,13458
1993,20607.7,11271.4,1693,5790,10856,13540
1994,20686.3,11375.2,1706,5847,10749,13760
1995,21241.1,11513.9,1722,5981,11097,13954
1996,21401.3,11689.5,1718,5831,11194,14348
1997,22487.3,11885.9,1751,6891,11171,14561
1998,21858.7,12012.5,1793,6184,11350,14544
1999,21766.8,12070.8,1794,6235,11218,14590
2000,22156.5,12295.6,1801,6218,11563,14869
2001,22084.2,12488.2,1742,6405,11390,15035
2002,22806,12748.4,1783,7012,11839,14920
2003,23385.3,13041.9,1829,6864,12680,15055
2004,24733.3,13427.8,1841,7408,13673,15239
2005,25256.8,13719.7,1911,7302,14528,15236
2006,26392.8,14055.5,1919,7926,15388,15215
2007,26735.5,14473.3,1948,7683,16194,15384
2008,26813.7,14757.3,2004,7807,16685,15075
2009,27016.1,14654.7,1994,8350,17019,14308
2010,28188.3,15118.3,2035,8240,18216,14815
2011,28092.8,15330.3,2263,8949,17748,14463
2012,28383.4,15628.1,2306,9180,18211,14314
2013,28893.1,15725,2313,9270,18694,14341
2014,29327.4,15845,2339,9891,18753,14189
2015,29216,15990.1,2338,10042,18677,14149
2016,29386.9,16430,2336,9681,19499,14301
2017,29696.7,16640.3,2320,9899,19821,14297
2018,30451.2,16809.5,2322,10412,20171,14356
2020,30451.2,16689,2208,10412,20168,14352
2025,22158.3,17553.4,2332,11674,14421,10902
2030,16758.4,18950.3,2591,12966,11170,7836
2035,12173.3,20288.8,2896,14262,8610,5214
2040,8396.8,21202.3,3178,15335,6514,2910
2045,5380.9,22284.6,3492,16263,4827,1027
2050,2697.7,22912.1,3704,17176,3166,-558
