"toprest","year","value"
"top",1990,20599.7
"top",1991,20648.5
"top",1992,20556.8
"top",1993,20607.7
"top",1994,20686.3
"top",1995,21241.1
"top",1996,21401.3
"top",1997,22487.3
"top",1998,21858.7
"top",1999,21766.8
"top",2000,22156.5
"top",2001,22084.2
"top",2002,22806
"top",2003,23385.3
"top",2004,24733.3
"top",2005,25256.8
"top",2006,26392.8
"top",2007,26735.5
"top",2008,26813.7
"top",2009,27016.1
"top",2010,28188.3
"top",2011,28092.8
"top",2012,28383.4
"top",2013,28893.1
"top",2014,29327.4
"top",2015,29216
"top",2016,29386.9
"top",2017,29696.7
"top",2018,30451.2
"top",2020,30451.2
"top",2025,22158.3
"top",2030,16758.4
"top",2035,12173.3
"top",2040,8396.8
"top",2045,5380.9
"top",2050,2697.7
"rest",1990,11147.2
"rest",1991,11269.8
"rest",1992,11231.3
"rest",1993,11271.4
"rest",1994,11375.2
"rest",1995,11513.9
"rest",1996,11689.5
"rest",1997,11885.9
"rest",1998,12012.5
"rest",1999,12070.8
"rest",2000,12295.6
"rest",2001,12488.2
"rest",2002,12748.4
"rest",2003,13041.9
"rest",2004,13427.8
"rest",2005,13719.7
"rest",2006,14055.5
"rest",2007,14473.3
"rest",2008,14757.3
"rest",2009,14654.7
"rest",2010,15118.3
"rest",2011,15330.3
"rest",2012,15628.1
"rest",2013,15725
"rest",2014,15845
"rest",2015,15990.1
"rest",2016,16430
"rest",2017,16640.3
"rest",2018,16809.5
"rest",2020,16689
"rest",2025,17553.4
"rest",2030,18950.3
"rest",2035,20288.8
"rest",2040,21202.3
"rest",2045,22284.6
"rest",2050,22912.1
