"year","capture","aquaculture","capture_inland","aquaculture_inland","capture_sea","aquaculture_sea","arctic","atlantic","indian","medblack","pacific","CHL","CHN","IDN","IND","JPN","NOR","other_country","PER","RUS","USA","VNM","pollock","anchovy","cod","herring","whiting","sardine","other_species","mackerel","pacific_sardine","skipjack","yellowfin"
1950,18710501,603821,1912147,259566,16798354,344255,0,8927052,869210,728994,6273098,87660,716100,65600,529817,2848660,1278554,8707354,73500,0,2441109,50000,154200,1100,2079877,2066347,25900,358800,10847396,251410,727705,165416,120203
1951,21157770.95,728794,2077742,313714,19080028.95,415080,0,9977634,903403.95,804907,7394084,94060,1016400,327800,539904.95,3317050,1667983,9722191,97100,0,2247540,50000,214500,7900,2204490,2522087,20900,341100,12579719.95,235604,665485,184843,103400
1952,22968962,822183,2212191,343443,20756771,478740,0,10725647,1017497,799715,8213912,118960,1264100,369900,564328,4191644,1669776,10155257,106600,0,2266206,50000,230500,16100,2467216,2610883,10400,371500,13676968,375046,714100,155576,128482
1953,23410603,962290,2544842,404618,20865761,557672,0,10860908,1083883,762276,8158694,107150,1275400,380900,582097,4052429,1396141,10587576,117700,0,2316368,50000,248800,37700,2324815,2569265,15600,377900,13910969,334803,758195,162655,125059
1954,25356209,1090511,2776258,532382,22579951,558129,0,11856101,1197792,767541,8758517,143450,1550178,406500,588300,4040976,1900141,11291304,146100,0,2403002,110000,267000,44400,2702903,3021256,16300,365600,14737982,415618,658718,209027,141147
1955,26746785,1217563,2971212,592564,23775573,624999,0,12270630,1261206,700062,9543675,214250,1684873,418000,596727,4391758,1643008,12077679,183300,0,2401978,164000,268900,66300,2913340,2748738,13300,296500,16121152,361673,635547,187503,162620
1956,28450914,1209334,2996048,629517,25454866,579817,0,13059216,1524946,758599,10112105,188240,2017912,425100,720344,4256897,1977462,12835737,267300,0,2586274,179600,275000,130000,3053834,2993487,23100,364800,17229066,405586,599650,200167,180176
1957,28589164.99,1560772,2961566,870307,25627598.99,690465,0,12393174,1658602.99,759275,10816547,213150,1906661,414400,875499.99,4776320,1564811,12850143,453200,0,2379014,194400,333600,346300,2545954,2726602,18900,404400,17804518.99,409943,642703,189966,204712
1958,29184942,1519234,2934613,850220,26250329,669014,0,12247020,1534500,766278,11702531,225825,1944816,427500,755900,4919169,1359905,13158659,900200,0,2339355,219000,344800,778600,2558462,2516098,22000,450300,18027540,383441,689697,260573,218818
1959,31582069,1651543,2954383,925020,28627686,726523,0,13043115,1440228,756277,13388066,272524,2030569,409000,584600,5328505,1353026,13672766,2122400,0,2595296,259000,449200,2022000,2475684,2712756,23400,442600,18854467,411756,717233,293344,225246
1960,33916308.01,1655321,3070662,856746,30845646.01,798575,0,13269407,1806547.01,724460,15045232,339542,2014740,418500,879700.01,5557095,1317342,13961321,3501400,0,2511006,345000,505539,3481300,2674960,2601197,23000,487900,19387875.01,469496,739797,177738,296844
