"species","area","year","B_Bmsy","F_Fmsy","species_code","area_code"
"Acadian redfish","Gulf of Maine/Georges Bank",2020,1.536000013,0.4469999969,"Acadian_redfish","Gulf_of_Maine/Georges_Bank"
"Alaska plaice","Bering Sea/Aleutian Islands",2021,1.577999949,0.4670000076,"Alaska_plaice","Bering_Sea/Aleutian_Islands"
"Alaska skate","Bering Sea/Aleutian Islands",2021,2.276000023,0.3370000124,"Alaska_skate","Bering_Sea/Aleutian_Islands"
"Albacore","North Atlantic",2020,1.320000052,0.6340000033,"Albacore","North_Atlantic"
"American plaice","Gulf of Maine/Georges Bank",2019,1.161000013,0.3449999988,"American_plaice","Gulf_of_Maine/Georges_Bank"
"Arrowtooth flounder","Bering Sea/Aleutian Islands",2021,2.573999882,0.1059999987,"Arrowtooth_flounder","Bering_Sea/Aleutian_Islands"
"Arrowtooth flounder","Gulf of Alaska",2021,2.049999952,0.123999998,"Arrowtooth_flounder","Gulf_of_Alaska"
"Atka mackerel","Bering Sea/Aleutian Islands",2021,1.164000034,0.6100000143,"Atka_mackerel","Bering_Sea/Aleutian_Islands"
"Atlantic herring","Northwestern Atlantic Coast",2020,0.2899999917,0.4679999948,"Atlantic_herring","Northwestern_Atlantic_Coast"
"Atlantic mackerel","Gulf of Maine/Cape Hatteras",2021,0.2370000035,2.082000017,"Atlantic_mackerel","Gulf_of_Maine/Cape_Hatteras"
"Atlantic sharpnose shark","Atlantic",2013,2.078000069,0.2339999974,"Atlantic_sharpnose_shark","Atlantic"
"Atlantic surfclam","Mid-Atlantic Coast",2020,1.190000057,0.2549999952,"Atlantic_surfclam","Mid-Atlantic_Coast"
"Atlantic wolffish","Gulf of Maine/Georges Bank",2020,0.4379999936,0.02500000037,"Atlantic_wolffish","Gulf_of_Maine/Georges_Bank"
"Aurora rockfish","Pacific Coast",2013,1.593999982,0.6140000224,"Aurora_rockfish","Pacific_Coast"
"Big skate","Pacific Coast",2019,1.980000019,0.1480000019,"Big_skate","Pacific_Coast"
"Bigeye tuna","Eastern Pacific",2020,0.9200000167,1,"Bigeye_tuna","Eastern_Pacific"
"Bigeye tuna","Atlantic",2021,0.9399999976,1,"Bigeye_tuna","Atlantic"
"Bigeye tuna","Western and Central Pacific",2020,1.779999971,0.7400000095,"Bigeye_tuna","Western_and_Central_Pacific"
"Black grouper","Southern Atlantic Coast/Gulf of Mexico",2010,1.399999976,0.5,"Black_grouper","Southern_Atlantic_Coast/Gulf_of_Mexico"
"Black rockfish","California",2019,1.437000036,0.4539999962,"Black_rockfish","California"
"Black rockfish","Northern Pacific Coast",2007,1.379999995,0.6980000138,"Black_rockfish","Northern_Pacific_Coast"
"Black rockfish","Oregon",2021,1.412999988,0.7960000038,"Black_rockfish","Oregon"
"Black rockfish","Southern Pacific Coast",2007,1.761999965,0.4699999988,"Black_rockfish","Southern_Pacific_Coast"
"Black rockfish","Washington",2019,1.18599999,0.8759999871,"Black_rockfish","Washington"
"Black sea bass","Mid-Atlantic Coast",2021,2.061000109,0.84799999,"Black_sea_bass","Mid-Atlantic_Coast"
