"iso3c","totalmarinearea","PAmarinecover"
"ABNJ",235080140,1.4
"ABW",25214,0
"AGO",493753,0
"AIA",92654,0.1
"ALB",11199,2.8
"ARE",54711,11.5
"ARG",1083151,11.8
"ASM",406816,8.7
"ATF",2277432,74.8
"ATG",108492,0.3
"AUS",7432133,44.3
"AZE",79032,0.4
"BEL",3465,38.1
"BEN",30426,0
"BES",25112,100
"BGD",84563,5.4
"BGR",35172,8.1
"BHR",7633,21.1
"BHS",597705,7.9
"BIH",13,0
"BLM",4318,98.3
"BLZ",36250,11
"BMU",451644,0
"BRA",3672584,26.8
"BRB",185020,0
"BRN",25698,0.2
"BVT",440224,0.5
"CAN",5698083,9.1
"CCK",470117,0
"CHL",3657313,41.4
"CHN",878364,5.5
"CIV",174842,0.1
"CMR",14704,10.9
"COD",13265,0.2
"COG",39864,3
"COK",1972842,100
"COL",730742,17.1
"COM",165505,0.4
"CPV",801065,0
"CRI",576110,29
"CUB",365756,3.9
"CUW",30535,0
"CXR",330036,0
"CYM",119605,0.1
"CYP",98280,8.6
"DEU",56358,45.5
"DJI",7031,0.2
"DMA",28749,0
"DNK",100470,18.3
"DOM",270774,17.3
"DZA",128993,0.1
"ECU",1079901,19.1
"EGY",236612,5
"ERI",78827,0
"ESH",252024,0
"ESP",1005717,12.8
"EST",36346,18.8
"FIN",79468,12
"FJI",1293035,0.9
"FLK",549092,0
"FRA",343866,49.8
"FRO",266720,0
"FSM",3011917,0
"GAB",193292,28.8
"GBR",723405,44.1
"GEO",22907,0.7
"GGY",8673,0.4
"GHA",226759,0.1
"GIB",427,0
"GIN",110136,0.5
"GLP",91039,99.9
"GMB",22746,0.6
"GNB",106507,9
"GNQ",310365,0.2
"GRC",494172,4.5
"GRD",26282,0.1
"GRL",2264467,4.5
"GTM",118336,0.8
"GUF",136564,1
"GUM",202535,0
"GUY",136910,0
"HMD",416111,1.5
"HND",219971,4.6
"HRV",55462,9
"HTI",123867,1.5
"IDN",5947954,3.1
"IND",2301226,0.2
"IOT",642745,99.9
"IRL",426442,2.3
"IRN",224801,0.8
"IRQ",596,0
"ISL",752784,0.4
"ISR",27855,0
"ITA",538881,10.6
"JAM",246488,0.8
"JEY",2962,6.2
"JOR",94,1
"JPN",4040612,13.9
"KAZ",119085,50.7
"KEN",112400,0.7
"KHM",47967,1.4
"KIR",3459130,11.8
"KNA",10263,4
"KOR",324994,2.5
"KWT",11896,1.4
"LBN",19316,0.2
"LBR",247768,0.1
"LBY",357895,0.6
"LCA",15560,0.2
"LKA",534085,0.1
"LTU",6126,25.6
"LVA",28880,16
"MAF",1069,96.4
"MAR",276136,0.7
"MCO",284,99.7
"MDG",1205825,0.9
"MDV",922110,0.1
"MEX",3284660,21.6
"MHL",2004587,0.3
"MLT",55697,7.4
"MMR",514147,0.5
"MNE",7459,0.6
"MNP",773668,33.2
"MOZ",574410,2.1
"MRT",156198,4.2
"MSR",7628,0
"MTQ",47644,100
"MUS",1280068,0
"MYS",451742,5.6
"MYT",63362,100
"NAM",562728,1.7
"NCL",1371803,96.3
"NFK",432638,0
"NGA",182868,0
"NIC",223935,3.4
"NIU",318244,40.6
"NLD",64205,26.9
"NOR",926318,9.8
"NRU",310565,0
"NZL",4106954,30.4
"OMN",538980,0.3
"PAK",222744,0.8
"PAN",332643,26.8
"PCN",839479,100
"PER",838330,8
"PHL",1835028,1.7
"PLW",608152,100
"PNG",2407382,0.1
"POL",31946,22.6
"PRI",176163,1.8
"PRK",115967,0
"PRT",1724156,16.9
"PYF",4795468,0
"QAT",31988,2.3
"REU",316499,0
"ROU",29726,23.1
"RUS",7673314,2.2
"SAU",220338,2.5
"SDN",66786,16
"SEN",158426,1.9
"SGP",763,0
"SGS",1445887,85.3
"SHN",1647745,96.5
"SJM",1081582,7.5
"SLB",1609757,0.1
"SLE",160453,1.6
"SLV",94238,0.7
"SOM",784502,0
"SPM",12367,0.1
"STP",131709,0
"SUR",128363,1.5
"SVN",186,2.3
"SWE",154980,15.8
"SXM",498,8.7
"SYC",1340839,32.8
"SYR",10204,0.2
"TCA",154242,0.1
"TGO",15521,0.2
"THA",306891,4.4
"TKL",321243,0
"TKM",77885,3
"TLS",42501,1.4
"TON",668055,0.1
"TTO",75798,0
"TUN",100661,1
"TUR",255926,1.8
"TUV",731900,0
"TWN",342997,1.1
"TZA",243130,3
"UKR",134873,9.2
"UMI",1964385,64.9
"URY",130098,0.8
"USA",8591493,19
"VCT",36511,0.2
"VEN",473325,4.4
"VGB",80529,0
"VIR",36030,0.9
"VNM",647232,0.6
"VUT",622073,0
"WLF",259805,0
"WSM",132306,0.1
"YEM",548014,0.5
"ZAF",1542560,15.5
