"year","fully","over","under"
1974,50.7692308,10,39.2307692
1978,50.6097561,8.53658537,40.8536585
1979,49.704142,13.0177515,37.2781065
1981,48.7654321,13.5802469,37.654321
1983,52.6666667,16.6666667,30.6666667
1985,50.2673797,18.1818182,31.5508021
1987,43.2432432,24.3243243,32.4324324
1989,41.8478261,26.6304348,31.5217391
1990,49.4505495,18.1318681,32.4175824
1992,46.4454976,23.2227488,30.3317536
1995,43.6936937,25.6756757,30.6306306
1997,50.8426966,23.0337079,26.1235955
2000,47.9069767,27.2093023,24.8837209
2004,53.8626609,23.6051502,22.5321888
2006,52.371134,27.628866,20
2008,53.6170213,32.9787234,13.4042553
2009,58.0052493,30.4461942,11.5485564
2011,61.2745098,28.9215686,9.80392157
2013,57.5555556,32,10.4444444
2015,59.454191,33.3333333,7.21247563
2017,59.6226415,34.1509434,6.22641509
2019,57.1428571,35.6190476,7.23809524
