"iso3c","percapita_catch"
"WLD",11.6
"ABW",1.5
"AFG",0
"AGO",15.3
"ALB",3.4
"AND",0
"ARE",6.5
"ARG",18.6
"ARM",0.3
"ASM",23.5
"ATG",34.4
"AUS",6.6
"AUT",0
"AZE",0.1
"BDI",1.6
"BEL",1.5
"BEN",5.7
"BFA",1.3
"BGD",11.7
"BGR",1.3
"BHR",10.7
"BHS",20.6
"BIH",0.1
"BLR",0.1
"BLZ",479
"BMU",6.6
"BOL",0.6
"BRA",3.5
"BRB",3
"BRN",34.3
"BTN",0
"BWA",0
"CAF",5.1
"CAN",19.4
"CHE",0.2
"CHI",12.7
"CHL",102.4
"CHN",9.2
"CIV",3.8
"CMR",10.7
"COD",2.4
"COG",11.9
"COL",2.5
"COM",23.6
"CPV",19.8
"CRI",5.7
"CUB",1.6
"CUW",164.3
"CYM",1.8
"CYP",1.1
"CZE",0.3
"DEU",2.3
"DJI",2.8
"DMA",4
"DNK",79.7
"DOM",1.6
"DZA",1.8
"ECU",48.5
"EGY",3.9
"ERI",1.3
"ESP",17
"EST",54.1
"ETH",0.5
"FIN",22.6
"FJI",35.4
"FRA",6.7
"FRO",10221.5
"FSM",1469
"GAB",12.8
"GBR",9.4
"GEO",58.7
"GHA",12
"GIB",0
"GIN",24
"GMB",19.9
"GNB",30.7
"GNQ",3.9
"GRC",5.6
"GRD",8.2
"GRL",4784
"GTM",0.6
"GUM",0.2
"GUY",42.5
"HKG",15.5
"HND",1.6
"HRV",16
"HTI",1.4
"HUN",0.5
"IDN",26.1
"IMN",36.1
"IND",3.5
"IRL",41
"IRN",8.9
"IRQ",1
"ISL",2791.9
"ISR",0.2
"ITA",2.5
"JAM",3.9
"JOR",0.1
"JPN",24.6
"KAZ",2.2
"KEN",2.5
"KGZ",0
"KHM",30.6
"KIR",1483.4
"KNA",7.8
"KOR",25.3
"KWT",0.8
"LAO",9.6
"LBN",0.5
"LBR",4.8
"LBY",4.7
"LCA",7.9
"LIE",0
"LKA",17.1
"LSO",0
"LTU",34.3
"LUX",0
"LVA",32.7
"MAC",2.2
"MAF",2.8
"MAR",38.1
"MCO",0
"MDA",0
"MDG",3.9
"MDV",278.1
"MEX",12.8
"MHL",2281.4
"MKD",0.2
"MLI",4.9
"MLT",4.8
"MMR",31
"MNE",1.3
"MNG",0
"MNP",3.8
"MOZ",11.6
"MRT",186.4
"MUS",24.2
"MWI",8.6
"MYS",39.7
"NAM",162.4
"NCL",12.2
"NER",1.9
"NGA",3.8
"NIC",8.1
"NLD",17.1
"NOR",443
"NPL",0.7
"NRU",9624.3
"NZL",66.8
"OMN",204
"PAK",2.1
"PAN",40.7
"PER",193.6
"PHL",16.2
"PLW",43.6
"PNG",18.9
"POL",5.3
"PRI",0.5
"PRK",8
"PRT",17.2
"PRY",2.6
"PSE",0.9
"PYF",43.5
"QAT",6.2
"ROU",0.3
"RUS",36
"RWA",2.4
"SAU",1.9
"SDN",0.8
"SEN",30.5
"SGP",0.1
"SLB",70.4
"SLE",24.3
"SLV",9.3
"SMR",0
"SOM",1.8
"SRB",0.3
"SSD",3
"STP",27
"SUR",52.4
"SVK",0.3
"SVN",0.1
"SWE",15.4
"SWZ",0.1
"SXM",5.9
"SYC",1402.1
"SYR",0.2
"TCA",50.5
"TCD",6
"TGO",2.1
"THA",19.7
"TJK",0.2
"TKM",2.4
"TLS",3.7
"TON",11
"TTO",8.6
"TUN",10.1
"TUR",3.9
"TUV",2775.4
"TZA",7.5
"UGA",13.6
"UKR",1.4
"URY",19.4
"USA",12.9
"UZB",1.5
"VCT",15.2
"VEN",7.9
"VGB",36.4
"VIR",4
"VNM",36.3
"VUT",175.2
"WSM",41.9
"YEM",4
"ZAF",8.2
"ZMB",5.4
"ZWE",1.4
