"year","EAS","ECS","LCN","MEA","NAC","SAS","SSF","CHN"
1950,1025523,313277,186183,38797,115483,107309,102845,78228
1951,1051078,315526,189367,39798,113839,106295,104226,104102
1952,1059608,307876,191836,40179,112629,107439,106243,121709
1953,1071034,307245,195735,40951,113810,107596,108296,116535
1954,1093119,309306,199447,41736,117522,109205,110369,128968
1955,1102828,313481,203576,42464,123873,110301,112138,138547
1956,1121887,311731,207252,43048,116862,112887,115200,132591
1957,1128495,310962,211737,43493,121342,115581,117759,136608
1958,1147724,310034,216752,43876,119226,117704,120124,132053
1959,1168596,311035,224202,44099,119508,118922,123410,129496
1960,1133340,314771,228399,44533,121246,123113,126018,124333
1961,1222482,306625,227088,44798,124024,126532,129932,127000
1962,1248500,306655,239125,45303,117262,132438,133580,128538
1963,1279973,298650,248664,45299,124879,133991,136865,136023
1964,1302334,301013,251158,46138,122386,136343,138611,137103
1965,1320218,289178,258459,46783,126719,140811,141810,136506
1966,1351397,283640,261702,45880,125641,141161,146212,138101
1967,1395629,280845,264351,45701,124255,155704,150712,146308
1968,1405954,273374,269489,45586,124015,161603,155352,143376
1969,1473244,271441,272946,45391,120802,169285,159518,151265
1970,1444473,262666,275729,45332,128101,175175,162549,140632
1971,1389372,255228,273787,45644,129106,181513,163004,145353
1972,1466865,250117,276691,47516,122251,188168,165936,156044
1973,1501702,240690,278199,46577,130792,197784,169655,163243
1974,1510712,237547,280775,47331,136795,205633,175597,164907
1975,1550123,233431,280223,48215,137678,214794,174773,162950
1976,1561751,231118,280327,48230,139681,209004,210335,160561
1977,1505630,226460,280772,49892,143246,202392,215212,158820
1978,1605882,226134,280720,50712,148746,214725,217287,163732
1979,1649696,224985,280394,52119,151957,224542,214344,161307
1980,1702657,218886,283836,51254,153856,229634,216447,171590
1981,1737318,217515,287035,54189,153353,232454,205224,177501
1982,1772528,215306,288066,56959,158356,240303,191364,192237
1983,1807132,209380,288773,58519,166130,246143,217352,197075
1984,1839010,204360,288607,61178,166219,254641,198827,207987
1985,1896969,208944,289741,64049,147898,266271,171850,223093
1986,1891938,204563,294547,66469,154646,265060,170301,234962
1987,1940298,202236,304803,67335,130138,273356,172761,268209
1988,1968837,199535,307807,70375,130068,281263,175505,283121
1989,1996762,195137,307118,73906,137767,288186,176805,293438
1990,2035898,189672,314432,76558,133679,297878,178897,312015
1991,2031158,180277,319513,79704,112718,305189,182520,297396
1992,2047688,178897,319350,83700,130179,312711,186443,306764
1993,2059437,175472,320399,84810,129456,317109,187793,284723
1994,2064617,172278,333414,86635,118280,319917,190415,286200
1995,2092334,169042,336931,90155,113917,319947,195406,293767
1996,2111567,165994,346437,92602,110867,323074,195259,298347
1997,2110997,163970,352483,94516,104319,326588,202658,285876
1998,2127357,161207,355171,96960,102320,332550,204000,278512
1999,2177422,163223,353503,99866,97090,327925,207689,267490
2000,2185268,159801,368902,103166,91858,327360,211066,271709
2001,2194743,150636,373922,104439,88755,329063,216930,256445
2002,2209504,150576,379497,107832,85021,327910,220770,246735
2003,2269816,147595,391820,111121,83057,329054,226067,247444
2004,2291326,141805,395904,114501,81871,328839,231100,241321
2005,2297062,137910,402470,115010,80269,347830,236585,233066
2006,2334810,134556,406226,116759,75732,336523,240306,229175
2007,2340501,132522,409199,121801,73603,340919,246442,224474
2008,2341439,128566,420387,122367,71204,344120,247916,217224
2009,2370275,127267,424951,122064,69260,348044,252225,223888
2010,2349805,122941,435930,127157,67408,321772,259658,222797
2011,2346244,116810,437179,125454,65579,371476,264637,213693
2012,2359522,115375,442451,129612,63472,375935,273688,202362
2013,2416566,111317,449415,132548,61898,377935,281932,211261
2014,2397403,111293,452995,134726,60375,392351,288308,199973
2015,2331039,108534,460192,137147,58908,389204,291535,194638
2016,2292721,110303,469337,138466,61967,393888,299911,185926
2017,2282978,108186,479090,140701,56607,396471,307653,171871
