"iso3c","area"
"AND",470
"ARE",98647.9
"AFG",652860
"ATG",440
"ALB",28750
"ARM",29740
"AGO",1246700
"ARG",2780400
"ASM",200
"AUT",83879
"AUS",7741220
"ABW",180
"AZE",86600
"BIH",51210
"BRB",430
"BGD",147570
"BEL",30530
"BFA",274220
"BGR",111000
"BHR",780
"BDI",27830
"BEN",114760
"BMU",4290
"BRN",5770
"BOL",1098580
"BRA",8515770
"BHS",13880
"BTN",38390
"BWA",581730
"BLR",207600
"BLZ",22970
"CAN",9879750
"COD",2344860
"CAF",622980
"COG",342000
"CHE",41290.39
"CIV",322460
"CHL",756700
"CMR",475440
"CHN",9600012.9
"COL",1141750
"CRI",51100
"CUB",109880
"CPV",4030
"CUW",444
"CYP",9250
"CZE",78870
"DEU",357580
"DJI",23200
"DNK",42920
"DMA",750
"DOM",48670
"DZA",2381741
"ECU",256370
"EST",45340
"EGY",1001450
"ERI",121664.887
"ESP",505957.289
"ETH",1136242.496
"FIN",338450
"FJI",18270
"FSM",700
"FRO",1396
"FRA",549087
"GAB",267670
"GBR",243610
"GRD",340
"GEO",69700
"GHA",238540
"GIB",10
"GRL",410450
"GMB",11300
"GIN",245860
"GNQ",28050
"GRC",131960
"GTM",108890
"GUM",540
"GNB",36130
"GUY",214970
"HKG",1110
"HND",112490
"HRV",88073
"HTI",27750
"HUN",93030
"IDN",1916862.2
"IRL",70280
"ISR",22070
"IMN",570
"IND",3287260
"IRQ",435052
"IRN",1745150
"ISL",103000
"ITA",302069
"CHI",
"JAM",10990
"JOR",89320
"JPN",377974
"KEN",580370
"KGZ",199950
"KHM",181040
"KIR",810
"COM",1861
"KNA",260
"PRK",120540
"KOR",100370
"KWT",17820
"CYM",264
"KAZ",2724902
"LAO",236800
"LBN",10450
"LCA",620
"LIE",160
"LKA",65610
"LBR",111370
"LSO",30360
"LTU",65290
"LUX",2590
"LVA",64594
"LBY",1759540
"MAR",446550
"MCO",74.92
"MDA",33850
"MNE",13810
"MAF",50
"MDG",587295
"MHL",180
"MKD",25710
"MLI",1240190
"MMR",676590
"MNG",1564116
"MAC",32.9
"MNP",460
"MRT",1030700
"MLT",320
"MUS",2040
"MDV",300
"MWI",118480
"MEX",1964375
"MYS",330524
"MOZ",799380
"NAM",824290
"NCL",18580
"NER",1267000
"NGA",923770
"NIC",130370
"NLD",41540
"NOR",625222
"NPL",147180
"NRU",20
"NZL",267710
"OMN",309500
"PAN",75320
"PER",1285220
"PYF",3471
"PNG",462840
"PHL",300000
"PAK",796100
"POL",312690
"PRI",8870
"PSE",6020
"PRT",92225.6
"PLW",460
"PRY",406752
"QAT",11490
"ROU",238400
"SRB",88360
"RUS",17098250
"RWA",26340
"SAU",2149690
"SLB",28900
"SYC",460
"SDN",1878000
"SWE",528449.29
"SGP",724
"SVN",20480
"SVK",49030
"SLE",72300
"SMR",60
"SEN",196710
"SOM",637660
"SUR",163820
"SSD",646883
"STP",960
"SLV",21040
"SXM",34
"SYR",185180
"SWZ",17360
"TCA",950
"TCD",1284000
"TGO",56790
"THA",513120
"TJK",141380
"TLS",14870
"TKM",488100
"TUN",163610
"TON",750
"TTO",5130
"TUV",30
"TZA",947300
"UKR",603550
"UGA",241550
"USA",9831510
"URY",176220
"UZB",448924
"VCT",390
"VEN",912050
"VGB",150
"VIR",350
"VNM",331240
"VUT",12190
"WSM",2840
"XKX",
"YEM",527970
"ZAF",1219090
"ZMB",752610
"ZWE",390760
