"region","driver","share"
"LCN","forestry",8.65
"LCN","wildfire",0.36
"LCN","shiftingagriculture",28.7
"LCN","commodity",61.6
"LCN","urbanization",0.11
"LCN","unknown",0.58
"EAS","forestry",27.66
"EAS","wildfire",3.46
"EAS","shiftingagriculture",7.03
"EAS","commodity",60.74
"EAS","urbanization",0.53
"EAS","unknown",0.57
"SAS","forestry",84.34
"SAS","wildfire",0.2
"SAS","shiftingagriculture",8.7
"SAS","commodity",1.74
"SAS","urbanization",1.95
"SAS","unknown",3.06
"NAC","forestry",61.65
"NAC","wildfire",34.53
"NAC","shiftingagriculture",0.12
"NAC","commodity",0.81
"NAC","urbanization",2.33
"NAC","unknown",0.55
"SSF","forestry",2.88
"SSF","wildfire",0.35
"SSF","shiftingagriculture",94.58
"SSF","commodity",1.01
"SSF","urbanization",0.52
"SSF","unknown",0.66
"ECS","forestry",43.2
"ECS","wildfire",55.62
"ECS","shiftingagriculture",0.16
"ECS","commodity",0
"ECS","urbanization",0.1
"ECS","unknown",0.93
