"iso3c","forests_2000","forests_2020","trend"
"AFG",1.9,1.9,0
"ALB",28.1,28.8,2.5
"DZA",0.7,0.8,14.3
"ASM",88.7,85.7,-3.4
"AND",34,34,0
"AGO",62.3,53.4,-14.3
"AIA",61.1,61.1,0
"ATG",21.5,18.5,-14
"ARG",12.2,10.4,-14.8
"ARM",11.7,11.5,-1.7
"ABW",2.3,2.3,0
"AUS",17.2,17.4,1.2
"AUT",46.5,47.3,1.7
"AZE",12,13.7,14.2
"BHS",50.9,50.9,0
"BHR",0.5,0.9,80
"BGD",14.8,14.5,-2
"BRB",14.7,14.7,0
"BLR",40.8,43.2,5.9
"BEL",22,22.8,3.6
"BLZ",64,56,-12.5
"BEN",36.7,27.8,-24.3
"BMU",18.5,18.5,0
"BTN",65.5,71.4,9
"BOL",50.9,46.9,-7.9
"BES",5.9,5.9,0
"BIH",41.2,42.7,3.6
"BWA",31.1,26.9,-13.5
"BRA",65.9,59.4,-9.9
"VGB",24.5,24.1,-1.6
"BRN",75.3,72.1,-4.2
"BGR",30.5,35.9,17.7
"BFA",26.4,22.7,-14
"BDI",7.6,10.9,43.4
"CPV",9.9,11.3,14.1
"KHM",61.1,45.7,-25.2
"CMR",45.7,43,-5.9
"CAN",38.8,38.7,-0.3
"CYM",53.9,53,-1.7
"CAF",36.8,35.8,-2.7
"TCD",5,3.4,-32
"CHL",21.3,24.5,15
"CHN",18.8,23.3,23.9
"COL",56.5,53.3,-5.7
"COM",22.4,17.7,-21
"COG",65,64.3,-1.1
"COK",64.9,65,0.2
"CRI",56,59.4,6.1
"CIV",16,8.9,-44.4
"HRV",33.7,34.6,2.7
"CUB",22.7,31.2,37.4
"CUW",0.2,0.2,0
"CYP",18.6,18.7,0.5
"CZE",34.1,34.7,1.8
"PRK",53.6,50.1,-6.5
"COD",63.5,55.6,-12.4
"DNK",14.3,15.7,9.8
"DJI",0.2,0.3,50
"DMA",63.8,63.8,0
"DOM",40.8,44.4,8.8
"ECU",55.3,50.3,-9
"EGY",0.1,0,-100
"SLV",32.5,28.2,-13.2
"GNQ",93.2,87.3,-6.3
"ERI",9.2,8.7,-5.4
"EST",52.8,56.1,6.3
"SWZ",27.5,28.9,5.1
"ETH",16.4,15.1,-7.9
"FLK",0,0,
"FRO",0.1,0.1,0
"FJI",55.1,62.4,13.2
"FIN",73.7,73.7,0
"FRA",27.9,31.5,12.9
"GUF",97.7,96.6,-1.1
"PYF",42.8,43.1,0.7
"GAB",92,91.3,-0.8
"GMB",35.3,24,-32
"GEO",39.7,40.6,2.3
"DEU",32.5,32.7,0.6
"GHA",38.9,35.1,-9.8
"GIB",0,0,
"GRC",27.9,30.3,8.6
"GRL",0,0,
"GRD",52.1,52.1,0
"GLP",42.8,44.4,3.7
"GUM",44.4,51.9,16.9
"GTM",39.3,32.9,-16.3
"GGY",2.9,5.4,86.2
"GIN",28.2,25.2,-10.6
"GNB",76.4,70.4,-7.9
"GUY",94.3,93.6,-0.7
"HTI",13.8,12.6,-8.7
"VAT",0,0,
"HND",60.6,56.8,-6.3
"HUN",21.4,22.5,5.1
"ISL",0.3,0.5,66.7
"IND",22.7,24.3,7
"IDN",53.9,49.1,-8.9
"IRN",5.7,6.6,15.8
"IRQ",1.9,1.9,0
"IRL",9.2,11.4,23.9
"IMN",6.1,6.1,0
"ISR",7.1,6.5,-8.5
"ITA",28.3,32.3,14.1
"JAM",48.1,55.1,14.6
"JPN",68.2,68.4,0.3
"JEY",5,5,0
"JOR",1.1,1.1,0
"KAZ",1.2,1.3,8.3
"KEN",7,6.3,-10
"KIR",1.5,1.5,0
"KWT",0.3,0.4,33.3
"KGZ",6.2,6.9,11.3
"LAO",75.5,71.9,-4.8
"LVA",52.1,54.8,5.2
"LBN",13.5,14,3.7
"LSO",1.1,1.1,0
"LBR",85.4,79.1,-7.4
"LBY",0.1,0.1,0
"LIE",41.9,41.9,0
"LTU",32.2,35.1,9
"LUX",33.7,34.5,2.4
"MDG",22.4,21.4,-4.5
"MWI",32.7,23.8,-27.2
"MYS",59.9,58.2,-2.8
"MDV",2.7,2.7,0
"MLI",10.9,10.9,0
"MLT",1.1,1.4,27.3
"MHL",52.2,52.2,0
"MTQ",46,49.3,7.2
"MRT",0.4,0.3,-25
"MUS",20.7,19.1,-7.7
"MYT",41.9,37.1,-11.5
"MEX",35.2,33.8,-4
"FSM",91.2,92,0.9
"MCO",0,0,
"MNG",9.2,9.1,-1.1
"MNE",46.5,61.5,32.3
"MSR",25,25,0
"MAR",12.3,12.9,4.9
"MOZ",52.4,46.7,-10.9
"MMR",53.4,43.7,-18.2
"NAM",9.8,8.1,-17.3
"NRU",0,0,
"NPL",41.7,41.6,-0.2
"NLD",10.6,11,3.8
"NCL",45.8,45.8,0
"NZL",37.4,37.6,0.5
"NIC",44.9,28.3,-37
"NER",1,0.9,-10
"NGA",27.3,23.7,-13.2
"NIU",72.4,72.6,0.3
"NFK",12.2,12.2,0
