"code","year","value"
"ER_PTD_MTN",2000,24.9
"ER_PTD_MTN",2001,26.2
"ER_PTD_MTN",2002,27
"ER_PTD_MTN",2003,28.1
"ER_PTD_MTN",2004,29.6
"ER_PTD_MTN",2005,30.2
"ER_PTD_MTN",2006,31.7
"ER_PTD_MTN",2007,33.4
"ER_PTD_MTN",2008,34.3
"ER_PTD_MTN",2009,35.1
"ER_PTD_MTN",2010,35.9
"ER_PTD_MTN",2011,36.5
"ER_PTD_MTN",2012,37.2
"ER_PTD_MTN",2013,37.7
"ER_PTD_MTN",2014,38.1
"ER_PTD_MTN",2015,38.4
"ER_PTD_MTN",2016,38.8
"ER_PTD_MTN",2017,39.1
"ER_PTD_MTN",2018,40.1
"ER_PTD_MTN",2019,40.4
"ER_PTD_MTN",2020,40.5
"ER_PTD_MTN",2021,40.5
"ER_PTD_FRHWTR",2000,28.1
"ER_PTD_FRHWTR",2001,29.6
"ER_PTD_FRHWTR",2002,30.4
"ER_PTD_FRHWTR",2003,31.2
"ER_PTD_FRHWTR",2004,34.8
"ER_PTD_FRHWTR",2005,35.8
"ER_PTD_FRHWTR",2006,36.7
"ER_PTD_FRHWTR",2007,38.2
"ER_PTD_FRHWTR",2008,39.1
"ER_PTD_FRHWTR",2009,39.7
"ER_PTD_FRHWTR",2010,40.1
"ER_PTD_FRHWTR",2011,40.5
"ER_PTD_FRHWTR",2012,41.1
"ER_PTD_FRHWTR",2013,41.7
"ER_PTD_FRHWTR",2014,42
"ER_PTD_FRHWTR",2015,42.2
"ER_PTD_FRHWTR",2016,42.6
"ER_PTD_FRHWTR",2017,43
"ER_PTD_FRHWTR",2018,43.8
"ER_PTD_FRHWTR",2019,44.1
"ER_PTD_FRHWTR",2020,44.2
"ER_PTD_FRHWTR",2021,44.2
"ER_PTD_TERR",2000,26.9
"ER_PTD_TERR",2001,28.4
"ER_PTD_TERR",2002,29.2
"ER_PTD_TERR",2003,30
"ER_PTD_TERR",2004,32.7
"ER_PTD_TERR",2005,33.7
"ER_PTD_TERR",2006,35
"ER_PTD_TERR",2007,36.9
"ER_PTD_TERR",2008,37.9
"ER_PTD_TERR",2009,38.7
"ER_PTD_TERR",2010,39.5
"ER_PTD_TERR",2011,40
"ER_PTD_TERR",2012,40.5
"ER_PTD_TERR",2013,41.2
"ER_PTD_TERR",2014,41.8
"ER_PTD_TERR",2015,42.1
"ER_PTD_TERR",2016,42.5
"ER_PTD_TERR",2017,42.8
"ER_PTD_TERR",2018,43.5
"ER_PTD_TERR",2019,43.8
"ER_PTD_TERR",2020,44
"ER_PTD_TERR",2021,44
