"iso3c","region_iso3c","X2000","X2022","trend","class"
"AFG","SAS",0.83783,0.83587,-0.00196,"(-0.02,0]"
"ALB","ECS",0.88873,0.83473,-0.054,"(-0.26,-0.05]"
"DZA","MEA",0.91134,0.90906,-0.00228,"(-0.02,0]"
"ASM","EAS",0.86896,0.8621,-0.00686,"(-0.02,0]"
"AND","ECS",0.91383,0.90984,-0.00399,"(-0.02,0]"
"AGO","SSF",0.92899,0.9284,-0.00059,"(-0.02,0]"
"ATG","LCN",0.93006,0.88213,-0.04793,"(-0.05,-0.02]"
"ARG","LCN",0.84844,0.84306,-0.00538,"(-0.02,0]"
"ARM","ECS",0.83854,0.82912,-0.00942,"(-0.02,0]"
"ABW","LCN",0.95733,0.95887,0.00154,"(0,0.03]"
"AUS","EAS",0.87928,0.81294,-0.06634,"(-0.26,-0.05]"
"AUT","ECS",0.89451,0.89503,0.00052,"(0,0.03]"
"AZE","ECS",0.91515,0.91179,-0.00336,"(-0.02,0]"
"BHS","LCN",0.72696,0.69237,-0.03459,"(-0.05,-0.02]"
"BHR","MEA",0.81066,0.74439,-0.06627,"(-0.26,-0.05]"
"BGD","SAS",0.82844,0.74529,-0.08315,"(-0.26,-0.05]"
"BRB","LCN",0.91875,0.89467,-0.02408,"(-0.05,-0.02]"
"BLR","ECS",0.94678,0.97454,0.02776,"(0,0.03]"
"BEL","ECS",0.98175,0.98412,0.00237,"(0,0.03]"
"BLZ","LCN",0.79299,0.76936,-0.02363,"(-0.05,-0.02]"
"BEN","SSF",0.90537,0.90572,0.00035,"(0,0.03]"
"BMU","NAC",0.62732,0.61064,-0.01668,"(-0.02,0]"
"BTN","SAS",0.8025,0.79899,-0.00351,"(-0.02,0]"
"BOL","LCN",0.88767,0.88023,-0.00744,"(-0.02,0]"
"BIH","ECS",0.89944,0.89976,0.00032,"(0,0.03]"
"BWA","SSF",0.97714,0.97568,-0.00146,"(-0.02,0]"
"BRA","LCN",0.91173,0.89912,-0.01261,"(-0.02,0]"
"VGB","LCN",0.78393,0.7595,-0.02443,"(-0.05,-0.02]"
"BRN","EAS",0.8636,0.85358,-0.01002,"(-0.02,0]"
"BGR","ECS",0.93641,0.9355,-0.00091,"(-0.02,0]"
"BFA","SSF",0.98873,0.98657,-0.00216,"(-0.02,0]"
"BDI","SSF",0.89141,0.89117,-0.00024,"(-0.02,0]"
"CPV","SSF",0.89844,0.90618,0.00774,"(0,0.03]"
"KHM","EAS",0.83676,0.7802,-0.05656,"(-0.26,-0.05]"
"CMR","SSF",0.83958,0.83839,-0.00119,"(-0.02,0]"
"CAN","NAC",0.96911,0.96339,-0.00572,"(-0.02,0]"
"CYM","LCN",0.84124,0.81829,-0.02295,"(-0.05,-0.02]"
"CAF","SSF",0.93633,0.93592,-0.00041,"(-0.02,0]"
"TCD","SSF",0.92044,0.91342,-0.00702,"(-0.02,0]"
"CHL","LCN",0.83322,0.75895,-0.07427,"(-0.26,-0.05]"
"CHN","EAS",0.8033,0.7303,-0.073,"(-0.26,-0.05]"
"HKG","EAS",0.84366,0.8406,-0.00306,"(-0.02,0]"
"MAC","EAS",0.92949,0.92155,-0.00794,"(-0.02,0]"
"COL","LCN",0.76162,0.73555,-0.02607,"(-0.05,-0.02]"
"COM","SSF",0.83257,0.73897,-0.0936,"(-0.26,-0.05]"
"COG","SSF",0.9664,0.96594,-0.00046,"(-0.02,0]"
"CRI","LCN",0.84354,0.81071,-0.03283,"(-0.05,-0.02]"
"CIV","SSF",0.90153,0.90166,0.00013,"(0,0.03]"
"HRV","ECS",0.89723,0.89535,-0.00188,"(-0.02,0]"
"CUB","LCN",0.6864,0.65936,-0.02704,"(-0.05,-0.02]"
"CUW","LCN",0.87591,0.8515,-0.02441,"(-0.05,-0.02]"
"CYP","ECS",0.99235,0.99127,-0.00108,"(-0.02,0]"
"CZE","ECS",0.96891,0.97082,0.00191,"(0,0.03]"
"PRK","EAS",0.93645,0.91999,-0.01646,"(-0.02,0]"
"COD","SSF",0.88132,0.88049,-0.00083,"(-0.02,0]"
"DNK","ECS",0.97656,0.97411,-0.00245,"(-0.02,0]"
"DJI","MEA",0.85978,0.8046,-0.05518,"(-0.26,-0.05]"
"DMA","LCN",0.70715,0.6593,-0.04785,"(-0.05,-0.02]"
"DOM","LCN",0.76191,0.72844,-0.03347,"(-0.05,-0.02]"
"ECU","LCN",0.77177,0.66713,-0.10464,"(-0.26,-0.05]"
"EGY","MEA",0.96173,0.9076,-0.05413,"(-0.26,-0.05]"
"SLV","LCN",0.83381,0.80173,-0.03208,"(-0.05,-0.02]"
"GNQ","SSF",0.80171,0.7987,-0.00301,"(-0.02,0]"
"ERI","SSF",0.942,0.88712,-0.05488,"(-0.26,-0.05]"
"EST","ECS",0.98691,0.98553,-0.00138,"(-0.02,0]"
"SWZ","SSF",0.81294,0.81228,-0.00066,"(-0.02,0]"
"ETH","SSF",0.84958,0.85028,0.0007,"(0,0.03]"
"FRO","ECS",0.877,0.87348,-0.00352,"(-0.02,0]"
"FJI","EAS",0.73566,0.696,-0.03966,"(-0.05,-0.02]"
"FIN","ECS",0.99107,0.98998,-0.00109,"(-0.02,0]"
"FRA","ECS",0.91633,0.83351,-0.08282,"(-0.26,-0.05]"
"PYF","EAS",0.76002,0.70875,-0.05127,"(-0.26,-0.05]"
"GAB","SSF",0.9536,0.95239,-0.00121,"(-0.02,0]"
"GMB","SSF",0.98,0.97916,-0.00084,"(-0.02,0]"
"GEO","ECS",0.90386,0.88783,-0.01603,"(-0.02,0]"
"DEU","ECS",0.98178,0.98185,0.00007,"(0,0.03]"
"GHA","SSF",0.83963,0.83996,0.00033,"(0,0.03]"
"GIB","ECS",0.9518,0.92993,-0.02187,"(-0.05,-0.02]"
"GRC","ECS",0.83932,0.83344,-0.00588,"(-0.02,0]"
"GRL","ECS",0.94046,0.90794,-0.03252,"(-0.05,-0.02]"
"GRD","LCN",0.70726,0.68367,-0.02359,"(-0.05,-0.02]"
"GUM","EAS",0.62032,0.36533,-0.25499,"(-0.26,-0.05]"
"GTM","LCN",0.74449,0.71548,-0.02901,"(-0.05,-0.02]"
