"SUM of val","","sex_name"
"iso3c",,"f"
"AFG",,816.2057817
"AFG",,63.85302337
"AFG",,24.31273385
"AFG",,1.66697516
"AFG",,537.8902449
"AFG",,0.6954333545
"AFG",,0.02652151466
"AFG",,170.923475
"AFG",,255.6640401
"AFG",,1.970836617
"AFG",,21.46468801
"AFG",,71.47506368
"AFG",,14.45547076
"AFG",,11.84431761
"AFG",,186.9560341
"AFG",,0
"AFG",,0.1788652479
"AFG",,0
"AFG",,0
"AFG",,0
"AFG",,10.27171839
"AFG",,0.02315691134
"AFG",,0
"AFG",,0.3185004417
"AFG",,1.862929088
"AFG",,3.806146061
"AFG",,3996.083155
"AFG",,141.2077974
"AFG",,4.084908887
"AFG",,4.528225666
"AFG",,254.7947813
"AFG",,476.8329105
"AFG",,112.3694604
"AFG",,626.6007991
"AFG",,244.3969785
"AFG",,44.72168559
"AFG",,109.65545
"AFG",,581.5833937
"AFG",,272.3127778
"AFG",,34.98463919
"AFG",,
"AFG",,183.6677292
"AFG",,19.06651639
"AFG",,20.55392262
"AFG",,12.02963621
"AFG",,40.42386362
"AFG",,29.5896246
"AFG",,19.12738505
"AFG",,4.011984854
"AFG",,79.30625312
"AFG",,
"AFG",,12.4602568
"AFG",,20.47106164
"AFG",,184.9824861
"AFG",,28.32359855
"AFG",,4.88244982
"AFG",,46.03099004
"AFG",,543.9174923
"AFG",,18.72605917
"AFG",,479.4563996
"AFG",,1.997699632
"AFG",,354.1027489
"AFG",,3492.038537
"AFG",,2289.813733
"AFG",,583.1839563
"AFG",,49.58536148
"AFG",,5.316574058
"AFG",,6.61092932
"AFG",,0.175072566
"AFG",,14.99215979
"AFG",,57.80949742
"AFG",,328.9158408
"AFG",,1.43751731
"AFG",,442.8574442
"AFG",,7.635685751
"AFG",,12.89936718
"AFG",,563.0519809
"AFG",,56.05119162
"AFG",,16.14239606
"AFG",,0.6074580893
"AFG",,9.060640684
"AFG",,4.878168699
"AFG",,42.0460933
"AFG",,25.55673968
"AFG",,20.63365436
"AFG",,9.16109694
"AFG",,17.97414659
"AFG",,249.5661569
"AFG",,36.25852975
"AFG",,2.307018321
"AFG",,18.15908938
"AFG",,32.07457014
"AFG",,161.2563864
"AFG",,0.05114548433
"AFG",,700.2139998
"AFG",,13.17936442
"AFG",,751.4699835
"AFG",,26.38617571
"AFG",,1.898333601
"AFG",,129.75393
"AFG",,89.63722254
"AFG",,2.353437286
"AFG",,66.21661314
"AFG",,307.3168913
"AFG",,0.4157187414
"AFG",,0.1241211506
"AFG",,884.4792266
"AFG",,19.80530307
"AFG",,82.68978738
"AFG",,88.48700999
"AFG",,143.7585543
"AFG",,253.7164119
"AFG",,58.19393496
"AFG",,240.4443137
"AFG",,137.9632393
