"SUM of counts","","year"
"iso3_code",,2019
"ALB",,65
"ARG",,2303
"ARM",,73
"ATG",,3
"AUS",,225
"AUT",,77
"AZE",,168
"BGR",,83
"BHS",,95
"BIH",,42
"BLZ",,134
"BRA",,44073
"BRB",,48
"BTN",,8
"CAN",,687
"CHE",,46
"CHL",,751
"COL",,12080
"CPV",,34
"CRI",,563
"CYP",,15
"CZE",,97
"DEU",,623
"DMA",,13
"DNK",,66
"DOM",,1026
"DZA",,571
"ECU",,1187
"ESP",,333
"EST",,23
"FIN",,88
"FRA",,861
"GRC",,78
"GRD",,16
"GTM",,4387
"GUY",,136
"HKG",,24
"HND",,4094
"HRV",,33
"HUN",,64
"IND",,40479
"IRL",,34
"ISL",,1
"ITA",,317
"JAM",,1340
"JOR",,115
"JPN",,319
"KEN",,1576
"KGZ",,141
"KNA",,12
"KOR",,297
"LBN",,182
"LCA",,46
"LIE",,1
"LTU",,94
"LUX",,4
"LVA",,75
"MAC",,2
"MAR",,627
"MDA",,121
"MEX",,36661
"MLT",,5
"MNE",,23
"MNG",,205
"MUS",,27
"NLD",,109
"NOR",,28
"OMN",,23
"PAK",,8153
"PAN",,447
"POL",,253
"PRI",,606
"PRT",,89
"PRY",,554
"PSE",,35
"QAT",,11
"ROU",,244
"RUS",,11202
"SGP",,12
"SRB",,90
"SUR",,30
"SVK",,76
"SVN",,10
"SWE",,111
"TUN",,571
"TUR",,2006
"UGA",,4718
"URY",,393
"USA",,16669
"VUT",,2
"ZAF",,21325
