"iso3c","sex_name","cause_id","cause_name","val"
"WLD","m",391,"Other nutritional deficiencies",1700.639902
"WLD","f",391,"Other nutritional deficiencies",4198.279106
"WLD","mf",391,"Other nutritional deficiencies",5898.919009
"WLD","m",393,"Sexually transmitted infections excluding HIV",574.58197
"WLD","f",393,"Sexually transmitted infections excluding HIV",2812.288954
"WLD","mf",393,"Sexually transmitted infections excluding HIV",3386.870924
"WLD","m",400,"Acute hepatitis",16932.32575
"WLD","f",400,"Acute hepatitis",10625.45578
"WLD","mf",400,"Acute hepatitis",27557.78152
"WLD","m",408,"Other unspecified infectious diseases",10687.21077
"WLD","f",408,"Other unspecified infectious diseases",4967.933983
"WLD","mf",408,"Other unspecified infectious diseases",15655.14476
"WLD","m",411,"Esophageal cancer",24942.02033
"WLD","f",411,"Esophageal cancer",8013.872614
"WLD","mf",411,"Esophageal cancer",32955.89294
"WLD","m",414,"Stomach cancer",52594.31675
"WLD","f",414,"Stomach cancer",34739.14343
"WLD","mf",414,"Stomach cancer",87333.46018
"WLD","m",417,"Liver cancer",48026.73637
"WLD","f",417,"Liver cancer",12575.74535
"WLD","mf",417,"Liver cancer",60602.48172
"WLD","m",535,"Pancreatitis",26052.40375
"WLD","f",535,"Pancreatitis",7018.619999
"WLD","mf",535,"Pancreatitis",33071.02375
"WLD","m",541,"Other digestive diseases",5792.121967
"WLD","f",541,"Other digestive diseases",3254.487423
"WLD","mf",541,"Other digestive diseases",9046.60939
"WLD","m",543,"Alzheimer's disease and other dementias",1971.147526
"WLD","f",543,"Alzheimer's disease and other dementias",2031.13558
"WLD","mf",543,"Alzheimer's disease and other dementias",4002.283106
"WLD","m",544,"Parkinson's disease",1483.636944
"WLD","f",544,"Parkinson's disease",812.8663017
"WLD","mf",544,"Parkinson's disease",2296.503246
"WLD","m",545,"Idiopathic epilepsy",32944.06154
"WLD","f",545,"Idiopathic epilepsy",20328.80645
"WLD","mf",545,"Idiopathic epilepsy",53272.868
"WLD","m",546,"Multiple sclerosis",2556.475769
"WLD","f",546,"Multiple sclerosis",3482.749499
"WLD","mf",546,"Multiple sclerosis",6039.225268
"WLD","m",554,"Motor neuron disease",2101.276795
"WLD","f",554,"Motor neuron disease",1120.205055
