"iso3c","cause_id","cause_name","female","male"
"AFG",297,"Tuberculosis",816.2057817,773.0792958
"AFG",298,"HIV/AIDS",63.85302337,116.3184826
"AFG",302,"Diarrheal diseases",24.31273385,45.18618712
"AFG",321,"Other intestinal infectious diseases",1.66697516,1.056442964
"AFG",322,"Lower respiratory infections",537.8902449,637.852901
"AFG",328,"Upper respiratory infections",0.6954333545,1.268458421
"AFG",329,"Otitis media",0.02652151466,0.06312862274
"AFG",332,"Meningitis",170.923475,127.0266949
"AFG",337,"Encephalitis",255.6640401,143.3878835
"AFG",338,"Diphtheria",1.970836617,1.978825444
"AFG",339,"Whooping cough",21.46468801,17.02695056
"AFG",340,"Tetanus",71.47506368,41.0247105
"AFG",341,"Measles",14.45547076,9.262172365
"AFG",342,"Varicella and herpes zoster",11.84431761,10.94929339
"AFG",345,"Malaria",186.9560341,163.1253635
"AFG",346,"Chagas disease",0,0
"AFG",347,"Leishmaniasis",0.1788652479,0.3772373192
"AFG",350,"African trypanosomiasis",0,0
"AFG",351,"Schistosomiasis",0,0
"AFG",352,"Cysticercosis",0,0
"AFG",353,"Cystic echinococcosis",10.27171839,5.453383196
"AFG",357,"Dengue",0.02315691134,0.01058046792
"AFG",358,"Yellow fever",0,0
"AFG",359,"Rabies",0.3185004417,1.573730279
"AFG",360,"Intestinal nematode infections",1.862929088,0.8700633796
"AFG",365,"Other neglected tropical diseases",3.806146061,3.057293255
"AFG",366,"Maternal disorders",3996.083155,
"AFG",387,"Protein-energy malnutrition",141.2077974,22.19669974
"AFG",391,"Other nutritional deficiencies",4.084908887,2.051369874
"AFG",393,"Sexually transmitted infections excluding HIV",4.528225666,1.098421707
"AFG",400,"Acute hepatitis",254.7947813,444.9301919
"AFG",408,"Other unspecified infectious diseases",476.8329105,257.0766604
"AFG",411,"Esophageal cancer",112.3694604,78.30578518
"AFG",414,"Stomach cancer",626.6007991,440.9568997
"AFG",417,"Liver cancer",244.3969785,190.7079501
"AFG",423,"Larynx cancer",44.72168559,72.35923836
"AFG",426,"Tracheal, bronchus, and lung cancer",109.65545,227.0645211
"AFG",429,"Breast cancer",581.5833937,8.873876872
"AFG",432,"Cervical cancer",272.3127778,
"AFG",435,"Uterine cancer",34.98463919,
"AFG",438,"Prostate cancer",,15.24746028
"AFG",441,"Colon and rectum cancer",183.6677292,118.3503089
"AFG",444,"Lip and oral cavity cancer",19.06651639,25.55470969
