"Iso3_code","Country","Year","unit","VALUE","region_iso3c","region","","TMP"
"BRA","Brazil",2020,"Counts",47722,"LCN","Latin America & Caribbean",,0
"NGA","Nigeria",2019,"Counts",44200,"SSF","Sub-Saharan Africa",,
"IND","India",2020,"Counts",40651,"SAS","South Asia",,
"MEX","Mexico",2020,"Counts",36579,"LCN","Latin America & Caribbean",,
"USA","United States of America",2020,"Counts",21570,"NAC","North America",,
"ZAF","South Africa",2020,"Counts",19846,"SSF","Sub-Saharan Africa",,
"COL","Colombia",2020,"Counts",11520,"LCN","Latin America & Caribbean",,
"RUS","Russian Federation",2020,"Counts",10697,"ECS","Europe & Central Asia",,
"PAK","Pakistan",2020,"Counts",8490,"SAS","South Asia",,
"CHN","China",2018,"Counts",7525,"EAS","East Asia & Pacific",,
"PHL","Philippines",2019,"Counts",4764,"EAS","East Asia & Pacific",,
"UGA","Uganda",2020,"Counts",4460,"SSF","Sub-Saharan Africa",,
"BGD","Bangladesh",2018,"Counts",3830,"SAS","South Asia",,
"HND","Honduras",2020,"Counts",3598,"LCN","Latin America & Caribbean",,
"GTM","Guatemala",2020,"Counts",3129,"LCN","Latin America & Caribbean",,
"AFG","Afghanistan",2018,"Counts",2474,"SAS","South Asia",,
"PER","Peru",2018,"Counts",2452,"LCN","Latin America & Caribbean",,
"ARG","Argentina",2020,"Counts",2416,"LCN","Latin America & Caribbean",,
"SLV","El Salvador",2019,"Counts",2398,"LCN","Latin America & Caribbean",,
"TUR","TÃ¼rkiye",2020,"Counts",2095,"ECS","Europe & Central Asia",,
