"var","value","ind"
"Year.2017",5.906906,"rate"
"Year.2018",5.774734,"rate"
"Year.2019",5.564134,"rate"
"Year.2020",5.60531,"rate"
"perc.2017.2018",-2.23759,"rate"
"perc.2018.2019",-3.64691,"rate"
"perc.2019.2020",0.740025,"rate"
"abs.diff.2017.2018",-0.13217,"rate"
"abs.diff.2018.2019",-0.2106,"rate"
"abs.diff.2019.2020",0.041176,"rate"
"Year.2017",445800,"number"
"Year.2018",440700,"number"
"Year.2019",429200,"number"
"Year.2020",436900,"number"
"perc.2017.2018",-1.14401,"number"
"perc.2018.2019",-2.60948,"number"
"perc.2019.2020",1.794035,"number"
"abs.diff.2017.2018",-5100,"number"
"abs.diff.2018.2019",-11500,"number"
"abs.diff.2019.2020",7700,"number"
