"iso3_code","region_iso3c","year","counts","per100000","rate_change"
"ZAF","SSF",2019,21325,36.41671978,-0.06935521688
"VUT","EAS",2019,2,0.6669289921,-0.5
"USA","NAC",2019,16669,5.065565832,0.2940188374
"URY","LCN",2019,393,11.35270187,-0.1424936387
"UGA","SSF",2019,4718,10.65742944,-0.05468418822
"TUR","ECS",2019,2006,2.404422209,0.0443668993
"TUN","MEA",2019,571,4.882544868,-0.01576182137
"SWE","ECS",2019,111,1.105975245,0.1171171171
"SVN","ECS",2019,10,0.4810805454,0.1
"SVK","ECS",2019,76,1.392703553,-0.1710526316
"SUR","LCN",2019,30,5.160287118,0.8333333333
"SRB","ECS",2019,90,1.025965125,-0.01111111111
"SGP","EAS",2019,12,0.2067417449,-0.1666666667
"RUS","ECS",2019,11202,7.67932162,-0.04508123549
"ROU","ECS",2019,244,1.260033924,0.1516393443
"QAT","MEA",2019,11,0.3884083415,0.09090909091
"PSE","MEA",2019,35,0.70261062,0.3714285714
"PRY","LCN",2019,554,7.864136118,-0.1317689531
"PRT","ECS",2019,89,0.8703153808,0.04494382022
"PRI","LCN",2019,606,20.65859322,-0.1270627063
"POL","ECS",2019,253,0.6677616374,0.05138339921
"PAN","LCN",2019,447,10.52646452,0.1185682327
"PAK","SAS",2019,8153,3.764684075,0.04133447811
"OMN","MEA",2019,23,0.4623123012,-0.3913043478
"NOR","ECS",2019,28,0.5205564972,0.1071428571
"NLD","ECS",2019,109,0.6375341629,-0.01834862385
"MUS","SSF",2019,27,2.126536817,0.2962962963
"MNG","EAS",2019,205,6.356261972,-0.04390243902
"MNE","ECS",2019,23,3.662490366,-0.2173913043
"MLT","MEA",2019,5,1.135390813,0.4
"MEX","LCN",2019,36661,28.73670232,-0.00223670931
"MDA","ECS",2019,121,2.992636137,-0.2314049587
"MAR","MEA",2019,627,1.719138031,-0.2695374801
"MAC","EAS",2019,2,0.3122823782,0
"LVA","ECS",2019,75,3.933415148,-0.06666666667
"LUX","ECS",2019,4,0.6496353921,-0.75
"LTU","ECS",2019,94,3.406252503,0.07446808511
"LIE","ECS",2019,1,2.630194634,0
"LCA","LCN",2019,46,25.1648021,0.1304347826
"LBN","MEA",2019,182,2.65472178,-0.2967032967
"KOR","EAS",2019,297,0.5797913887,0.03703703704
"KNA","LCN",2019,12,22.71264716,-0.1666666667
"KGZ","ECS",2019,141,2.19768196,-0.1914893617
"KEN","SSF",2019,1576,2.997681343,0.1795685279
"JPN","EAS",2019,319,0.2514577078,-0.003134796238
"JOR","MEA",2019,115,1.138422584,0.06086956522
"JAM","LCN",2019,1340,45.45027486,-0.00671641791
"ITA","ECS",2019,317,0.5235334737,-0.1009463722
"ISL","ECS",2019,1,0.2949530582,4
"IRL","ECS",2019,34,0.6963648526,0
"IND","SAS",2019,40479,2.962417593,0.004249116826
"HUN","ECS",2019,64,0.660837529,0.25
"HRV","ECS",2019,33,0.7989736336,0.2121212121
"HND","LCN",2019,4094,42.00648156,-0.1211529067
"HKG","EAS",2019,24,0.3227473546,-0.08333333333
"GUY","LCN",2019,136,17.37408578,0.1544117647
"GTM","LCN",2019,4387,24.95239876,-0.2867563255
"GRD","LCN",2019,16,14.28545919,-0.125
"GRC","ECS",2019,78,0.7447401296,0
"FRA","ECS",2019,861,1.321976902,0.02090592334
"FIN","ECS",2019,88,1.590699038,0.03409090909
"EST","ECS",2019,23,1.734999234,0.8260869565
"ESP","ECS",2019,333,0.7125009163,-0.1051051051
"ECU","LCN",2019,1187,6.83218277,0.1558550969
"DZA","MEA",2019,571,1.326270606,0.01576182137
"DOM","LCN",2019,1026,9.554000449,-0.06335282651
"DNK","ECS",2019,66,1.143475511,-0.1666666667
"DMA","LCN",2019,13,18.10383244,0.1538461538
"DEU","ECS",2019,623,0.7459555023,0.2552166934
"CZE","ECS",2019,97,0.9074568914,-0.206185567
"CYP","ECS",2019,15,1.251487184,0
"CRI","LCN",2019,563,11.15390185,0.01243339254
"CPV","SSF",2019,34,6.182537604,0.05882352941
"COL","LCN",2019,12080,23.99708714,-0.04635761589
"CHL","LCN",2019,751,3.962635147,0.2330226365
"CHE","ECS",2019,46,0.5354215706,0.02173913043
"CAN","NAC",2019,687,1.836356425,0.08151382824
"BTN","SAS",2019,8,1.048363635,1.375
"BRB","LCN",2019,48,16.723515,-0.1458333333
"BRA","LCN",2019,44073,20.8827768,0.08279445465
"BLZ","LCN",2019,134,34.32807909,-0.2388059701
"BIH","ECS",2019,42,1.272342486,0.02380952381
"BHS","LCN",2019,95,24.39112061,-0.2315789474
"BGR","ECS",2019,83,1.185694468,-0.1686746988
"AZE","ECS",2019,168,1.672021282,0.369047619
"AUT","ECS",2019,77,0.8598444597,-0.1558441558
"AUS","EAS",2019,225,0.8927437786,-0.01777777778
"ATG","LCN",2019,3,3.089121145,2
"ARM","ECS",2019,73,2.468110658,-0.2876712329
"ARG","LCN",2019,2303,5.142843425,0.04906643508
"ALB","ECS",2019,65,2.256229188,-0.06153846154
