"iso3c","year","rate","region_iso3c"
"WLD",2020,5.605310066,"WLD"
"EAS",2020,0.9734539546,"EAS"
"ECS",2020,2.468751589,"ECS"
"LCN",2020,20.07931171,"LCN"
"MEA",2020,3.538911259,"MEA"
"NAC",2020,5.970432692,"NAC"
"SAS",2020,3.036021598,"SAS"
"SSF",2020,13.2486586,"SSF"
"ALB",2020,2.119674752,"ECS"
"AND",2020,2.588494144,"ECS"
"ARG",2020,5.345632182,"LCN"
"ARM",2020,1.754839476,"ECS"
"ATG",2020,9.190425619,"LCN"
"AUS",2020,0.8666707111,"EAS"
"AUT",2020,0.7217090069,"ECS"
"AZE",2020,2.268429137,"ECS"
"BGR",2020,0.9930279365,"ECS"
"BHS",2020,18.56334934,"LCN"
"BIH",2020,1.310649945,"ECS"
"BLZ",2020,25.65256865,"LCN"
"BRA",2020,22.45113506,"LCN"
"BRB",2020,14.26727123,"LCN"
"BTN",2020,2.462377464,"SAS"
"CAN",2020,1.968620924,"NAC"
"CHE",2020,0.5430626747,"ECS"
"CHL",2020,4.844056685,"LCN"
"COL",2020,22.64022613,"LCN"
"CPV",2020,6.474959891,"SSF"
"CRI",2020,11.18938445,"LCN"
"CYP",2020,1.24237904,"ECS"
"CZE",2020,0.7190225924,"ECS"
"DEU",2020,0.9333530428,"ECS"
"DMA",2020,20.83593783,"LCN"
"DNK",2020,0.9495523551,"ECS"
"DOM",2020,8.858854208,"LCN"
"DZA",2020,1.322659532,"MEA"
"ECU",2020,7.776428805,"LCN"
"ESP",2020,0.6373679459,"ECS"
"EST",2020,3.166133826,"ECS"
"FIN",2020,1.64238642,"ECS"
"FJI",2020,2.231037298,"EAS"
"FRA",2020,1.346641192,"ECS"
"GRC",2020,0.7483409856,"ECS"
"GRD",2020,12.44234307,"LCN"
"GTM",2020,17.46525801,"LCN"
"GUY",2020,19.96035898,"LCN"
"HKG",2020,0.2934511833,"EAS"
"HND",2020,36.326526,"LCN"
"HRV",2020,0.9743578251,"ECS"
"HUN",2020,0.8281273453,"ECS"
"IND",2020,2.945715278,"SAS"
"IRL",2020,0.6885663158,"ECS"
"ISL",2020,1.465201465,"ECS"
"ITA",2020,0.4713717885,"ECS"
"JAM",2020,44.94858604,"LCN"
"JOR",2020,1.19571034,"MEA"
"JPN",2020,0.2514301911,"EAS"
"KAZ",2020,3.227402973,"ECS"
"KEN",2020,3.457234621,"SSF"
