"Iso3_code","Country","Region","Subregion","Indicator","Dimension","Category","Sex","Age","Year","unit","VALUE","Source","region_iso3c","region"
"ALB","Albania","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.119674752,"MD/CTS/NSO","ECS","Europe & Central Asia"
"AND","Andorra","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.588494144,"Interpol/CTS","ECS","Europe & Central Asia"
"ARG","Argentina","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",5.345632182,"MoS/CTS/UNODC Research","LCN","Latin America & Caribbean"
"ARM","Armenia","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.754839476,"UNSDC/TransMonEE/CTS/Covid-19","ECS","Europe & Central Asia"
"ATG","Antigua and Barbuda","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",9.190425619,"MD/PAHO/OAS/CTS","LCN","Latin America & Caribbean"
"AUS","Australia","Oceania","Australia and New Zealand","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.8666707111,"MD/Eurostat/GSH Revision/CTS","EAS","East Asia & Pacific"
"AUT","Austria","Europe","Western Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.7217090069,"UNSDC/Eurostat/CTS","ECS","Europe & Central Asia"
"AZE","Azerbaijan","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",2.268429137,"UNSDC/CTS/NSO","ECS","Europe & Central Asia"
"BGR","Bulgaria","Europe","Eastern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.9930279365,"UNSDC/Eurostat/CTS/External","ECS","Europe & Central Asia"
"BHS","Bahamas","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",18.56334934,"UNSDC/OAS/CTS/NP","LCN","Latin America & Caribbean"
