"Iso3_code","Country","Region","Subregion","Indicator","Dimension","Category","Sex","Age","Year","unit","VALUE","Source","region_iso3c","region"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2010,"Rate per 100,000 population",6.04961649,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2011,"Rate per 100,000 population",6.083969712,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2012,"Rate per 100,000 population",6.113175523,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2013,"Rate per 100,000 population",6.032025006,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2014,"Rate per 100,000 population",6.032096376,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2015,"Rate per 100,000 population",5.911968893,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2016,"Rate per 100,000 population",5.947845376,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2017,"Rate per 100,000 population",5.906905873,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2018,"Rate per 100,000 population",5.774733653,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2019,"Rate per 100,000 population",5.564134104,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2020,"Rate per 100,000 population",5.605310066,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2010,"Counts",420900,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2011,"Counts",428400,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2012,"Counts",435600,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2013,"Counts",434900,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2014,"Counts",440000,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2015,"Counts",436300,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2016,"Counts",443900,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2017,"Counts",445800,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2018,"Counts",440700,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2019,"Counts",429200,"UNODC estimate based on national data","NA","NA"
"WORLD","World","World","World","Victims of Intentional Homicide - Regional Estimate","Total","Total","Total","Total",2020,"Counts",436900,"UNODC estimate based on national data","NA","NA"
