"Iso3_code","Country","region_iso3c","abs.diff","perc.diff","value_2019","value_2020","","TMP"
"USA","United States of America","NAC",4901,29.40188374,16669,21570,,0
"BRA","Brazil","LCN",3649,8.279445465,44073,47722,,
"PAK","Pakistan","SAS",337,4.133447811,8153,8490,,
"KEN","Kenya","SSF",283,17.95685279,1576,1859,,
"ECU","Ecuador","LCN",185,15.58550969,1187,1372,,
"CHL","Chile","LCN",175,23.30226365,751,926,,
"IND","India","SAS",172,0.4249116826,40479,40651,,
"DEU","Germany","ECS",159,25.52166934,623,782,,
"ARG","Argentina","LCN",113,4.906643508,2303,2416,,
"TUR","Türkiye","ECS",89,4.43668993,2006,2095,,
