"year","fcs_pct","others","fcs_population","others_population"
2000,16.37631078,83.62368922,612000000,5530000000
2001,16.49451807,83.50548193,626000000,5600000000
2002,17.11663055,82.88336945,642000000,5670000000
2003,17.6053402,82.3946598,658000000,5730000000
2004,18.00209621,81.99790379,674000000,5800000000
2005,18.99557401,81.00442599,690000000,5860000000
2006,19.21914946,80.78085054,707000000,5930000000
2007,19.94256108,80.05743892,724000000,5990000000
2008,20.27517607,79.72482393,741000000,6060000000
2009,20.97617399,79.02382601,760000000,6130000000
2010,22.01109383,77.98890617,778000000,6190000000
2011,24.82796448,75.17203552,797000000,6260000000
2012,26.46872082,73.53127918,817000000,6320000000
2013,29.37773334,70.62226666,837000000,6390000000
2014,30.15327245,69.84672755,857000000,6460000000
2015,32.31072073,67.68927927,876000000,6530000000
2016,33.61113164,66.38886836,896000000,6600000000
2017,36.39320965,63.60679035,916000000,6660000000
2018,39.79656063,60.20343937,936000000,6730000000
2019,42.49354719,57.50645281,957000000,6790000000
2020,40.61950464,59.38049536,979000000,6840000000
2021,43.36969169,56.63030831,1000000000,6890000000
2022,45.81211461,54.18788539,1020000000,6940000000
2023,47.87386773,52.12613227,1040000000,6980000000
2024,49.94586406,50.05413594,1070000000,7030000000
2025,52.34375957,47.65624043,1100000000,7080000000
2026,54.06701557,45.93298443,1120000000,7120000000
2027,55.62708555,44.37291445,1150000000,7170000000
2028,56.6712483,43.3287517,1170000000,7210000000
2029,58.03102367,41.96897633,1200000000,7260000000
2030,59.13168707,40.86831293,1220000000,7300000000
