"ADM1_EN","ADM1_AR","ADM1_PCODE","Inadequate Food Consumption","ADM1_REF","ADM1ALT1_EN","ADM1ALT2_EN","ADM1ALT1_AR","ADM1ALT2_AR","ADM0_EN","ADM0_AR","ADM0_PCODE","DATE","VALIDON","VALIDTO","AREA_SQKM"
"Abyan","ابين","YE12",0.56,,,,,,"Yemen","اليمن","YE","########","########",,16449.68359
"Ad Dali'","الضالع","YE30",0.65,"Ad Dali",,,,,"Yemen","اليمن","YE","########","########",,4009.8125
"Aden","عدن","YE24",0.36,,,,,,"Yemen","اليمن","YE","########","########",,792.7957764
"Al Bayda","البيضاء","YE14",0.62,,,,,,"Yemen","اليمن","YE","########","########",,9230.316406
"Al Hodeidah","الحديده","YE18",0.4,,,,,,"Yemen","اليمن","YE","########","########",,13251.85938
"Al Jawf","الجوف","YE16",0.53,,,,,,"Yemen","اليمن","YE","########","########",,39525.16406
"Al Maharah","المهره","YE28",0.24,,,,,,"Yemen","اليمن","YE","########","########",,67149.91406
"Al Mahwit","المحويت","YE27",0.37,,,,,,"Yemen","اليمن","YE","########","########",,2344.871094
"Amran","عمران","YE29",0.48,,,,,,"Yemen","اليمن","YE","########","########",,7947.410156
"Dhamar","ذمار","YE20",0.45,,,,,,"Yemen","اليمن","YE","########","########",,7570.321777
"Hadramawt","حضرموت","YE19",0.43,,,,,,"Yemen","اليمن","YE","########","########",,160530.0313
"Hajjah","حجه","YE17",0.46,,,,,,"Yemen","اليمن","YE","########","########",,8101.290039
"Ibb","اب","YE11",0.52,,,,,,"Yemen","اليمن","YE","########","########",,5360.178711
"Lahj","لحج","YE25",0.71,,,,,,"Yemen","اليمن","YE","########","########",,12301.2207
"Ma'rib","مارب","YE26",0.52,"Marib",,,,,"Yemen","اليمن","YE","########","########",,17270.33984
"Raymah","ريمه","YE31",0.58,,,,,,"Yemen","اليمن","YE","########","########",,1888.748901
"Sa'dah","صعده","YE22",0.4,"Sadah",,,,,"Yemen","اليمن","YE","########","########",,12623.54688
"Sana'a","صنعاء","YE23",0.45,"Sanaa",,,,,"Yemen","اليمن","YE","########","########",,11790.14063
"Sana'a City","امانة العاصمه","YE13",0.29,"Sanaa City",,,,,"Yemen","اليمن","YE","########","########",,507.8182678
"Shabwah","شبوه","YE21",0.65,,,,,,"Yemen","اليمن","YE","########","########",,40430.36719
"Socotra","سقطرى","YE32",,,,,,,"Yemen","اليمن","YE","########","########",,3906.9104
"Ta'iz","تعز","YE15",0.49,"Taiz",,,,,"Yemen","اليمن","YE","########","########",,10075.39355
