"iso3_donor","iso3_recipient","year","value"
"ARE","AFG",2021,283.55
"ARE","AGO",2021,0.03
"ARE","ALB",2021,81.39
"ARE","ARG",2021,12.95
"ARE","ARM",2021,3.49
"ARE","ATG",2021,14.63
"ARE","AZE",2021,2.25
"ARE","BDI",2021,1.73
"ARE","BEN",2021,5.92
"ARE","BFA",2021,8.2
"ARE","BGD",2021,76.27
"ARE","BIH",2021,9.21
"ARE","BLR",2021,9.38
"ARE","BLZ",2021,3.18
"ARE","BOL",2021,0.16
"ARE","BRA",2021,3.07
"ARE","BTN",2021,0.08
"ARE","BWA",2021,0.93
"ARE","CAF",2021,1.78
"ARE","CHN",2021,3.84
"ARE","CIV",2021,2.12
"ARE","CMR",2021,1.89
"ARE","COD",2021,0.64
"ARE","COG",2021,5.51
"ARE","COL",2021,35.36
"ARE","COM",2021,68.47
"ARE","CPV",2021,0.07
"ARE","CRI",2021,15.41
"ARE","CUB",2021,18.48
"ARE","DJI",2021,14.11
"ARE","DMA",2021,3.99
"ARE","DOM",2021,2.29
"ARE","DZA",2021,19.36
"ARE","ECU",2021,1.05
"ARE","EGY",2021,5348.69
"ARE","ERI",2021,350.65
"ARE","ETH",2021,102.61
"ARE","FJI",2021,3.82
"ARE","FSM",2021,3.82
"ARE","GAB",2021,0.03
"ARE","GEO",2021,0.01
"ARE","GHA",2021,12.68
"ARE","GIN",2021,42.44
"ARE","GMB",2021,15.07
"ARE","GNB",2021,2.78
"ARE","GNQ",2021,0.57
"ARE","GRD",2021,1.81
"ARE","GTM",2021,0.68
"ARE","GUY",2021,1.09
"ARE","HND",2021,0.63
"ARE","HTI",2021,1.95
"ARE","IDN",2021,26.1
"ARE","IND",2021,26.84
"ARE","IRN",2021,23.43
"ARE","IRQ",2021,694.74
"ARE","JAM",2021,1.09
"ARE","JOR",2021,1566.8
"ARE","KAZ",2021,31.24
"ARE","KEN",2021,30.99
"ARE","KGZ",2021,21.44
"ARE","KHM",2021,2.61
"ARE","KIR",2021,4.07
"ARE","LAO",2021,5.28
"ARE","LBN",2021,86.7
"ARE","LBR",2021,8.67
"ARE","LBY",2021,131.62
"ARE","LCA",2021,1
"ARE","LKA",2021,3.93
"ARE","LSO",2021,13.62
"ARE","MAR",2021,988.85
"ARE","MDA",2021,0.01
"ARE","MDG",2021,7.31
"ARE","MDV",2021,103.97
"ARE","MEX",2021,3.49
"ARE","MHL",2021,3.31
"ARE","MKD",2021,1.61
"ARE","MLI",2021,296.55
"ARE","MMR",2021,3.06
"ARE","MNE",2021,33.3
"ARE","MNG",2021,8.46
"ARE","MOZ",2021,17.36
"ARE","MRT",2021,242.49
"ARE","MSR",2021,0.3
"ARE","MUS",2021,1.06
"ARE","MWI",2021,12.49
"ARE","MYS",2021,2.71
"ARE","NAM",2021,1.27
"ARE","NER",2021,13.78
"ARE","NGA",2021,5.32
"ARE","NIC",2021,0.85
"ARE","NIU",2021,0.11
"ARE","NPL",2021,9.8
"ARE","NRU",2021,2.81
