"Year","Remittances (BPM6)","FDI","ODA","PF"
1990,27.38326974,20.64078668,54.14403125,21.17808846
1991,29.71173762,28.64826991,57.32725781,27.89401719
1992,34.69170284,39.52715252,56.07750781,44.65501098
1993,36.66507243,55.56251097,51.90591797,96.95048974
1994,40.85324737,77.95051223,55.74798828,97.79995561
1995,47.37777701,88.62595045,55.37962109,28.34902012
1996,42.73536417,112.6094146,50.83655859,86.59104287
1997,58.86700433,149.3766224,46.17626953,113.8349133
1998,58.64117575,149.1873227,48.25851953,44.87790072
1999,67.71098179,155.5976587,50.57128906,34.3511208
2000,70.93529264,144.6127544,51.55873877,1.025772867
2001,79.65231579,155.9005609,52.8717915,-1.781815519
2002,94.90189492,146.7594279,62.98798975,-1.760736045
2003,116.7866957,153.2133371,72.50847827,30.21741558
2004,134.2766831,209.3002861,81.29978198,55.74330909
2005,191.4994998,285.179557,106.5482344,93.82364807
2006,224.5814857,374.7802671,104.8879219,154.1893598
2007,273.3248185,525.8843476,106.2610781,208.590247
2008,319.6665315,606.5920443,123.8724063,-82.94387248
2009,303.5334913,414.6765411,123.6589531,171.5806138
2010,339.7165946,642.2780631,127.3085391,328.3155045
2011,382.4851232,773.7166599,138.2905625,156.8374033
2012,404.7295966,689.2028351,132.5685156,369.5080309
2013,422.8441108,729.0565683,150.0227656,280.7500843
2014,444.2951478,661.6145048,160.3498594,312.8783971
2015,446.5451811,616.2439994,145.2214375,68.37975454
2016,440.4761741,544.8932698,157.2581563,158.5455362
2017,477.016011,554.4656993,163.5592031,400.2499978
2018,523.587781,607.2429636,166.1646563,178.5565717
2019,546.2271651,555.834371,161.5134844,273.1971498
2020,541.9447849,516.2936885,193.0636094,279.2666439
2021,596.9847351,746.6917248,220,219.598444
2022,626.3720322,566,225,-50
2023,639.1450784,,,
