"iso3","year","donor","oda_pcap"
"LUX",2021,1,-759.9486
"NOR",2021,1,-727.1627
"SWE",2021,1,-572.4739
"DNK",2021,1,-456.2034
"CHE",2021,1,-413.1236
"NLD",2021,1,-323.46
"DEU",2021,1,-316.9675
"GBR",2021,1,-284.4191
"FIN",2021,1,-221.3592
"BEL",2021,1,-204.4513
"IRL",2021,1,-191.7862
"FRA",2021,1,-190.7714
"ISL",2021,1,-165.2349
"AUT",2021,1,-158.5693
"CAN",2021,1,-124.5383
"AUS",2021,1,-124.0099
"USA",2021,1,-109.7756
"NZL",2021,1,-104.591
"JPN",2021,1,-97.23593
"ITA",2021,1,-84.50616
"TUR",2021,1,-76.25049
"ESP",2021,1,-60.75577
"KOR",2021,1,-45.10699
"SVN",2021,1,-42.12134
"PRT",2021,1,-38.15153
"CZE",2021,1,-28.84238
"HUN",2021,1,-28.82802
"GRC",2021,1,-28.72295
"SVK",2021,1,-23.22475
"POL",2021,1,-19.49102
"THA",2021,1,-1.737563
"MYS",2021,0,0
"CHN",2021,0,0
"ARG",2021,0,1.011157
"IDN",2021,0,1.050719
"IND",2021,0,2.072648
"IRN",2021,0,2.173728
"BRA",2021,0,3.039187
"KAZ",2021,0,3.464862
"DZA",2021,0,3.932917
"PRK",2021,0,4.380176
"TKM",2021,0,4.569634
"MEX",2021,0,5.138813
"VEN",2021,0,5.703391
"CHL",2021,0,5.851297
"AGO",2021,0,6.336713
"PHL",2021,0,7.290861
"URY",2021,0,8.6291
"AZE",2021,0,8.814198
"LKA",2021,0,9.935634
"PER",2021,0,10.58917
"GNQ",2021,0,10.6981
"BLR",2021,0,11.29331
"PAK",2021,0,11.83984
"PAN",2021,0,14.69357
"NGA",2021,0,15.87632
"ZAF",2021,0,19.93152
"ECU",2021,0,19.99451
"VNM",2021,0,20.2588
"DOM",2021,0,21.83325
"CRI",2021,0,22.08782
"PRY",2021,0,23.84146
"BGD",2021,0,23.9108
"GTM",2021,0,25.03479
"JAM",2021,0,25.79925
"EGY",2021,0,26.00914
"COG",2021,0,27.08055
"UZB",2021,0,28.23362
"COL",2021,0,28.63755
"ERI",2021,0,29.45927
"MDG",2021,0,31.99988
"COD",2021,0,32.10614
"MMR",2021,0,34.25502
"SLV",2021,0,34.3116
"BWA",2021,0,35.22527
"SUR",2021,0,35.94038
"UKR",2021,0,36.02002
"SDN",2021,0,38.33691
"ETH",2021,0,39.792
"CIV",2021,0,41.72849
"GAB",2021,0,42.20711
"TZA",2021,0,42.45416
"TGO",2021,0,42.56274
"MAR",2021,0,43.04686
"CMR",2021,0,44.38655
"LBY",2021,0,45.15135
"BDI",2021,0,45.9915
"GHA",2021,0,46.31414
"GIN",2021,0,47.81974
"TCD",2021,0,48.2321
"NPL",2021,0,49.07965
"TJK",2021,0,50.90414
"UGA",2021,0,52.39433
"IRQ",2021,0,55.10926
"ZWE",2021,0,55.71546
"ZMB",2021,0,56.00664
"BEN",2021,0,56.99372
"KEN",2021,0,58.24064
"BOL",2021,0,59.91786
"BFA",2021,0,60.84097
"NER",2021,0,60.88705
"KHM",2021,0,61.24826
"HND",2021,0,64.02405
"LSO",2021,0,65.37172
"MOZ",2021,0,67.33539
"MWI",2021,0,70.2815
"NAM",2021,0,71.45816
"TUN",2021,0,71.61423
"MLI",2021,0,73.95457
"SEN",2021,0,74.01378
"LAO",2021,0,74.88367
"GNB",2021,0,74.96925
"NIC",2021,0,75.2236
"CUB",2021,0,77.10244
"PNG",2021,0,80.81857
"KGZ",2021,0,81.67315
"GMB",2021,0,86.29359
"HTI",2021,0,88.55526
"SLE",2021,0,88.92555
"ARM",2021,0,93.58192
"MRT",2021,0,96.70435
"ALB",2021,0,98.40882
"MUS",2021,0,98.93257
"MKD",2021,0,101.1645
"RWA",2021,0,101.2614
"GUY",2021,0,101.9511
"SWZ",2021,0,102.5432
"SYC",2021,0,104.6132
"SRB",2021,0,111.6794
"AFG",2021,0,114.7556
"COM",2021,0,118.4532
"BLZ",2021,0,118.9322
"SOM",2021,0,119.8371
"YEM",2021,0,120.1935
"CAF",2021,0,122.6581
"BIH",2021,0,130.6998
"MDA",2021,0,135.2979
"MNG",2021,0,136.6183
"ATG",2021,0,139.8986
"LBR",2021,0,149.4891
"GEO",2021,0,165.704
"BTN",2021,0,168.5795
"SSD",2021,0,171.3876
"TLS",2021,0,183.4097
"DJI",2021,0,190.5807
"MNE",2021,0,208.2978
"MDV",2021,0,213.2892
"FJI",2021,0,215.172
"LBN",2021,0,216.1146
"LCA",2021,0,226.924
"XKX",2021,0,235.5097
"CPV",2021,0,242.2846
"GRD",2021,0,260.4896
"JOR",2021,0,275.4996
"STP",2021,0,277.2965
"SLB",2021,0,311.0978
"SYR",2021,0,419.9626
"VCT",2021,0,458.3789
"PSE",2021,0,483.4989
"VUT",2021,0,494.7179
"DMA",2021,0,524.7182
"KIR",2021,0,548.8319
"WSM",2021,0,562.4696
"FSM",2021,0,948.5671
"TON",2021,0,978.587
"MHL",2021,0,1742.197
"PLW",2021,0,2273.704
"NRU",2021,0,2780.997
"TUV",2021,0,3238.053
"TTO",2021,0,
"NCL",2021,0,
"MLT",2021,0,
"ABW",2021,0,
"GUM",2021,0,
"MNP",2021,0,
"IMN",2021,0,
"GRL",2021,0,
"CYP",2021,0,
"AND",2021,0,
"MAC",2021,0,
"TCA",2021,0,
"BRB",2021,0,
"EST",2021,0,
"CUW",2021,0,
"ASM",2021,0,
"KNA",2021,0,
"VGB",2021,0,
"BGR",2021,0,
"ARE",2021,0,
"FRO",2021,0,
"SAU",2021,0,
"KWT",2021,0,
"CHI",2021,0,
"MAF",2021,0,
"LIE",2021,0,
"BHR",2021,0,
"LVA",2021,0,
"GIB",2021,0,
"ISR",2021,0,
"ROU",2021,0,
"RUS",2021,0,
"BHS",2021,0,
"BMU",2021,0,
"SMR",2021,0,
"OMN",2021,0,
"QAT",2021,0,
"PYF",2021,0,
"SGP",2021,0,
"SXM",2021,0,
"HRV",2021,0,
"MCO",2021,0,
"LTU",2021,0,
"HKG",2021,0,
"VIR",2021,0,
"PRI",2021,0,
"BRN",2021,0,
"CYM",2021,0,
"WLD",,,-22.68
