"iso3_donor","iso3_recipient","value"
"MEA","MEA",1361.31
"MEA","ECS",18.41
"MEA","EAS",16.7
"MEA","SSF",399.99
"MEA","LCN",67.97
"MEA","SAS",283.2
"MEA","NAC",0
"ECS","MEA",11895.75
"ECS","ECS",2854.96
"ECS","EAS",2188.66
"ECS","SSF",12338.24
"ECS","LCN",3218.08
"ECS","SAS",3571.25
"ECS","NAC",0
"EAS","MEA",1274.94
"EAS","ECS",413.25
"EAS","EAS",3446.34
"EAS","SSF",2071.21
"EAS","LCN",761.77
"EAS","SAS",5382.66
"EAS","NAC",0
"SSF","MEA",0
"SSF","ECS",0
"SSF","EAS",0
"SSF","SSF",0
"SSF","LCN",0
"SSF","SAS",0
"SSF","NAC",0
"LCN","MEA",0
"LCN","ECS",0
"LCN","EAS",0
"LCN","SSF",0
"LCN","LCN",0
"LCN","SAS",0
"LCN","NAC",0
"SAS","MEA",0
"SAS","ECS",0
"SAS","EAS",0
"SAS","SSF",0
"SAS","LCN",0
"SAS","SAS",0
"SAS","NAC",0
"NAC","MEA",4388.69
"NAC","ECS",885.36
"NAC","EAS",1126.41
"NAC","SSF",12553.34
"NAC","LCN",2379.73
"NAC","SAS",2640.15
"NAC","NAC",0
