"iso3","year","viz_oda_usdmn","viz_oda_usdmn_nom","viz_gni_constant","viz_odagni_pct","viz_odamn_covid","viz_odamn_refugees","viz_oda_ukr","viz_oda_usdmn_nocovid","viz_oda_usdmn_nocovid_noref","viz_oda_usdmn_nocovid_norefukr","viz_oda_ldc_pctgni","viz_oda_ldc_usdmn"
"AUT",1960,1.5366,0.1,96498.48,0.001592,0,0,0,1.5366,1.5366,1.5366,,
"AUT",1961,42.45602,2.9,101748.1,0.041727,0,0,0,42.45602,42.45602,42.45602,,
"AUT",1962,32.30225,2.3,103929,0.031081,0,0,0,32.30225,32.30225,32.30225,,
"AUT",1963,56.99305,4.2,108151.1,0.052698,0,0,0,56.99305,56.99305,56.99305,,
"AUT",1964,86.78259,6.6,114921.2,0.075515,0,0,0,86.78259,86.78259,86.78259,,
"AUT",1965,135.5331,10.88,118591.5,0.114286,0,0,0,135.5331,135.5331,135.5331,,
"AUT",1966,151.3073,12.58,123764.1,0.122255,0,0,0,151.3073,151.3073,151.3073,,
"AUT",1967,175.7201,15.11,126644.1,0.138751,0,0,0,175.7201,175.7201,175.7201,,
"AUT",1968,185.6686,16.47,131219.4,0.141495,0,0,0,185.6686,185.6686,185.6686,,
"AUT",1969,156.7872,14.39,139136.4,0.112686,0,0,0,156.7872,156.7872,156.7872,,
"AUT",1970,109.6395,10.61,149475.5,0.073349,0,0,0,109.6395,109.6395,109.6395,,
"AUT",1971,115.0767,12.28,156703,0.073436,0,0,0,115.0767,115.0767,115.0767,,
"AUT",1972,143.6701,17.78,166658.9,0.086206,0,0,0,143.6701,143.6701,143.6701,,
"AUT",1973,254.9653,40.22,174767.3,0.145888,0,0,0,254.9653,254.9653,254.9653,,
"AUT",1974,329.6729,59.69,181913.8,0.181225,0,0,0,329.6729,329.6729,329.6729,,
"AUT",1975,382.8909,79.19,181108,0.211416,0,0,0,382.8909,382.8909,382.8909,0.0279557,50.63
"AUT",1976,234.7879,49.81,189098.3,0.124162,0,0,0,234.7879,234.7879,234.7879,0.0196882,37.23
"AUT",1977,447.0663,108.32,197081.5,0.226843,0,0,0,447.0663,447.0663,447.0663,0.0149938,29.55
"AUT",1978,527.7887,154.14,196662.4,0.268373,0,0,0,527.7887,527.7887,527.7887,0.0326804,64.27
"AUT",1979,397.5426,131.38,206115.2,0.192874,0,0,0,397.5426,397.5426,397.5426,0.0500303,103.12
"AUT",1980,493.3975,177.86,211454.1,0.233336,0,0,0,493.3975,493.3975,493.3975,0.0192051,40.61
"AUT",1981,703.1524,219.82,210469.1,0.334088,0,0,0,703.1524,703.1524,703.1524,0.0521454,109.75
"AUT",1982,766.1028,235.53,215385.7,0.355689,0,0,0,766.1028,766.1028,766.1028,0.0427651,92.11
"AUT",1983,521.8779,157.62,220674,0.236493,0,0,0,521.8779,521.8779,521.8779,0.0307739,67.91
"AUT",1984,636.1317,181.09,225584.5,0.281993,0,0,0,636.1317,636.1317,636.1317,0.0458586,103.45
"AUT",1985,876.4559,248.47,232548.1,0.376892,0,0,0,876.4559,876.4559,876.4559,0.0627827,146
"AUT",1986,499.8869,197.66,236792.5,0.211108,0,0,0,499.8869,499.8869,499.8869,0.0388146,91.91
"AUT",1987,411.0546,201.06,238518.4,0.172337,0,0,0,411.0546,411.0546,411.0546,0.033402,79.67
"AUT",1988,592.5679,301.39,247309.9,0.239605,0,0,0,592.5679,592.5679,592.5679,0.0342324,84.66
"AUT",1989,578.0812,282.47,256809.1,0.225102,0,0,0,578.0812,578.0812,578.0812,0.0555276,142.6
"AUT",1990,286.945,168.06,269622.1,0.106425,0,0,0,286.945,286.945,286.945,0.0645644,174.08
"AUT",1991,497.4543,294.18,274656.9,0.181118,0,0,0,497.4543,497.4543,497.4543,0.0558224,153.32
"AUT",1992,314.1153,204.1,281746.4,0.111489,0,178.4655,0,314.1153,135.6498,135.6498,0.0605367,170.56
"AUT",1993,326.6661,206.07,287536.4,0.113609,0,179.7163,0,326.6661,146.9498,146.9498,0.0602984,173.38
"AUT",1994,490.9064,323.43,297383,0.165075,0,185.8107,0,490.9064,305.0957,305.0957,0.0553663,164.65
"AUT",1995,816.1562,620.04,304987.8,0.267603,0,144.0028,0,816.1562,672.1534,672.1534,0.0573826,175.01
"AUT",1996,720.2983,526.7,314492.8,0.229035,0,116.5579,0,720.2983,603.7404,603.7404,0.0457562,143.9
"AUT",1997,770.5136,494.86,317123.8,0.242969,0,53.53081,0,770.5136,716.9828,716.9828,0.0571953,181.38
"AUT",1998,721.9824,459.05,329713.2,0.218973,0,46.3025,0,721.9824,675.6799,675.6799,0.0520543,171.63
"AUT",1999,805.8398,492.29,338397.1,0.238134,0,67.76853,0,805.8398,738.0713,738.0713,0.0491316,166.26
"AUT",2000,821.0777,439.7,350235.7,0.234436,0,42.44507,0,821.0777,778.6326,778.6326,0.0608676,213.18
"AUT",2001,1193.591,633.09,349451.8,0.341561,0,38.78149,0,1193.591,1154.81,1154.81,0.0760191,265.65
"AUT",2002,921.3417,520.16,361135.3,0.255124,0,50.0914,0,921.3417,871.2504,871.2504,0.0873357,315.4
"AUT",2003,736.2241,504.78,365166.7,0.201613,0,49.73502,0,736.2241,686.4891,686.4891,0.0684153,249.83
"AUT",2004,883.761,677.63,379446.1,0.232908,0,67.38771,0,883.761,816.3734,816.3734,0.0589359,223.63
"AUT",2005,2000.509,1573.32,383399.9,0.521781,0,78.35109,0,2000.509,1922.158,1922.158,0.0809312,310.29
"AUT",2006,1851.995,1498.43,394994.3,0.468866,0,51.13153,0,1851.995,1800.863,1800.863,0.0780897,308.45
"AUT",2007,2005.757,1808.46,402715.2,0.498059,0,55.62121,0,2005.757,1950.136,1950.136,0.0700371,282.05
"AUT",2008,1769.649,1713.51,413203.5,0.428275,0,46.55694,0,1769.649,1723.092,1723.092,0.072739,300.56
"AUT",2009,1198.785,1141.78,396897.8,0.302039,0,42.6375,0,1198.785,1156.147,1156.147,0.0919557,364.97
"AUT",2010,1322.425,1208.42,410153.6,0.322422,0,39.4948,0,1322.425,1282.93,1282.93,0.122264,501.47
"AUT",2011,1137.768,1111.37,425927.7,0.267127,0,42.9976,0,1137.768,1094.77,1094.77,0.0708477,301.76
"AUT",2012,1200.266,1105.75,428336.1,0.280216,0,62.50175,0,1200.266,1137.764,1137.764,0.0615685,263.72
"AUT",2013,1211.58,1171.49,442956.4,0.273521,0,65.42487,0,1211.58,1146.156,1146.156,0.079588,352.54
"AUT",2014,1250.712,1234.52,439820.4,0.284369,0,110.8957,0,1250.712,1139.816,1139.816,0.083334,366.52
"AUT",2015,1568.196,1323.51,443308.1,0.353749,0,520.1489,0,1568.196,1048.047,1048.047,0.0593132,262.94
"AUT",2016,1908.63,1635.48,450455.3,0.423711,0,695.6928,0,1908.63,1212.937,1212.937,0.0646635,291.28
"AUT",2017,1418.509,1251.27,472767.7,0.300043,0,173.7667,0,1418.509,1244.742,1244.742,0.0702713,332.22
"AUT",2018,1242.757,1168.53,482026.6,0.257819,0,65.69375,0,1242.757,1177.064,1177.064,0.0701891,338.33
"AUT",2019,1358.273,1229.88,492450,0.275819,0,33.93804,0,1358.273,1324.335,1324.335,0.0704701,347.03
"AUT",2020,1347.059,1273.35,454456.8,0.296411,30.76332,32.64636,0,1316.296,1283.649,1283.649,0.0709638,322.5
"AUT",2021,1466.78,1466.78,475816,0.308266,64.02169,63.12,0,1402.758,1339.638,1339.638,0.0687745,327.24
"AUT",2022,1997.568,1853.23,511536.7,0.390503,45.23882,400.6282,0,1952.33,1551.701,1551.701,,
"BEL",1960,1088.884,100.9,123349.3,0.882765,0,0,0,1088.884,1088.884,1088.884,,
"BEL",1961,982.5512,92.1,129406.6,0.759275,0,0,0,982.5512,982.5512,982.5512,,
"BEL",1962,731.1705,69.8,135758.9,0.53858,0,0,0,731.1705,731.1705,731.1705,,
"BEL",1963,811.9492,79.7,141811,0.572557,0,0,0,811.9492,811.9492,811.9492,,
"BEL",1964,692.4326,71.3,151208.6,0.457932,0,0,0,692.4326,692.4326,692.4326,,
"BEL",1965,935.5388,101.58,156383.6,0.598233,0,0,0,935.5388,935.5388,935.5388,,
"BEL",1966,675.73,76.11,162029.6,0.417041,0,0,0,675.73,675.73,675.73,,
"BEL",1967,761.6052,88.78,167796.8,0.453885,0,0,0,761.6052,761.6052,761.6052,,
"BEL",1968,739.3881,88.03,175544.8,0.421196,0,0,0,739.3881,739.3881,739.3881,,
"BEL",1969,941.2064,116.11,188063,0.500474,0,0,0,941.2064,941.2064,941.2064,,
"BEL",1970,917.3815,119.64,198106.6,0.463075,0,0,0,917.3815,917.3815,917.3815,,
"BEL",1971,1038.359,146.12,206655.6,0.502459,0,0,0,1038.359,1038.359,1038.359,,
"BEL",1972,1168.916,193.15,213455,0.547617,0,0,0,1168.916,1168.916,1168.916,,
"BEL",1973,1174.602,234.75,229566.5,0.511661,0,0,0,1174.602,1174.602,1174.602,,
"BEL",1974,1206.488,271.45,239942.1,0.502825,0,0,0,1206.488,1206.488,1206.488,,
"BEL",1975,1413.215,377.66,236627.3,0.597233,0,0,0,1413.215,1413.215,1413.215,0.3225748,763.3
"BEL",1976,1241.652,340.1,249925.7,0.496808,0,0,0,1241.652,1241.652,1241.652,0.2755018,688.55
"BEL",1977,1169.801,370.97,250553.1,0.466887,0,0,0,1169.801,1169.801,1169.801,0.2616172,655.49
"BEL",1978,1422.738,536.09,258496.8,0.550389,0,0,0,1422.738,1422.738,1422.738,0.291319,753.05
"BEL",1979,1518.936,642.75,262171.5,0.579367,0,0,0,1518.936,1518.936,1518.936,0.3086263,809.13
"BEL",1980,1347.705,594.85,271249.3,0.496851,0,0,0,1347.705,1347.705,1347.705,0.2932395,795.41
"BEL",1981,1571.915,574.59,266899.3,0.588955,0,0,0,1571.915,1571.915,1571.915,0.3228522,861.69
"BEL",1982,1562.228,499.21,269450.8,0.579782,0,0,0,1562.228,1562.228,1562.228,0.3003035,809.17
"BEL",1983,1588.897,479.26,270559.4,0.587264,0,0,0,1588.897,1588.897,1588.897,0.2590781,700.96
"BEL",1984,1585.189,446.26,275612.4,0.575151,0,0,0,1585.189,1585.189,1585.189,0.2670961,736.15
"BEL",1985,1537.991,440.31,280999.2,0.547329,0,0,0,1537.991,1537.991,1537.991,0.2813282,790.53
"BEL",1986,1396.448,546.56,293594.9,0.475638,0,0,0,1396.448,1396.448,1396.448,0.2709481,795.49
"BEL",1987,1443.023,687.2,301136.5,0.479192,0,0,0,1443.023,1443.023,1443.023,0.2267012,682.68
"BEL",1988,1215.774,600.74,308456.5,0.394148,0,0,0,1215.774,1215.774,1215.774,0.1617862,499.04
"BEL",1989,1455.296,703.33,317639.4,0.45816,0,0,0,1455.296,1455.296,1455.296,0.213566,678.37
"BEL",1990,1518.291,889.34,333072.7,0.455844,0,0,0,1518.291,1518.291,1518.291,0.1858153,618.9
"BEL",1991,1409.57,831.02,340380.6,0.414116,0,0,0,1409.57,1409.57,1409.57,0.1178886,401.27
"BEL",1992,1342.648,870,343546.5,0.39082,0,0,0,1342.648,1342.648,1342.648,0.1338625,459.88
"BEL",1993,1292.275,810.24,330883.8,0.390552,0,0,0,1292.275,1292.275,1292.275,0.1326327,438.86
"BEL",1994,1100.652,727.46,346366.1,0.317771,0,0,0,1100.652,1100.652,1100.652,0.0956647,331.35
"BEL",1995,1362.426,1033.94,355769.1,0.382952,0,0,0,1362.426,1362.426,1362.426,0.0998541,355.25
"BEL",1996,1257.744,913.28,367240.1,0.342486,0,0,0,1257.744,1257.744,1257.744,0.086679,318.32
"BEL",1997,1205.116,763.76,388180.1,0.310453,0,0.504919,0,1205.116,1204.611,1204.611,0.0877247,340.53
