"year","sec","top","amount"
2021,"Social Infrastructure & Services","Education",10632.66
2021,"Social Infrastructure & Services","Health",16937.52
2021,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",7899.2202
2021,"Social Infrastructure & Services","Water Supply & Sanitation",5032.6001
2021,"Social Infrastructure & Services","Government & Civil Society",13856.72
2021,"Social Infrastructure & Services","Other Social Infrastructure & Services",4114.7598
2021,"Economic Infrastructure & Services","Transport & Storage",6160.8501
2021,"Economic Infrastructure & Services","Communications",548.75
2021,"Economic Infrastructure & Services","Energy",7123.96
2021,"Economic Infrastructure & Services","Banking & Financial Services",3348.21
2021,"Economic Infrastructure & Services","Business & Other Services",2142.03
2021,"Production Sectors"," Agriculture, Forestry, Fishing",5189.1299
2021,"Production Sectors"," Industry, Mining, Construction",2637.6399
2021,"Production Sectors","Trade Policies & Regulations",625.01001
2021,"Production Sectors","Tourism",45.669998
2021,"Multi-Sector / Cross-Cutting","General Environment Protection",4282.4702
2021,"Multi-Sector / Cross-Cutting","Other Multisector",7589.98
2021,"Commodity Aid / General Programme Assistance","General Budget Support",1836.1899
2021,"Commodity Aid / General Programme Assistance","Development Food Assistance",1246
2021,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",0.61000001
2021,"Action Relating to Debt","Action Relating to Debt",697.54999
2021,"Humanitarian Aid","Emergency Response",22784.869
2021,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",273.16
2021,"Humanitarian Aid","Disaster Prevention & Preparedness",962.51001
2021,"Unallocated / Unspecified","Unallocated / Unspecified",19869.109
2020,"Social Infrastructure & Services","Education",9274.1504
2020,"Social Infrastructure & Services","Health",11652.79
2020,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",8393.4502
2020,"Social Infrastructure & Services","Water Supply & Sanitation",5515.4399
2020,"Social Infrastructure & Services","Government & Civil Society",16365.92
2020,"Social Infrastructure & Services","Other Social Infrastructure & Services",4259.6699
2020,"Economic Infrastructure & Services","Transport & Storage",11170.53
2020,"Economic Infrastructure & Services","Communications",320.5
2020,"Economic Infrastructure & Services","Energy",5040.3701
2020,"Economic Infrastructure & Services","Banking & Financial Services",5721.2202
2020,"Economic Infrastructure & Services","Business & Other Services",1774.4399
2020,"Production Sectors"," Agriculture, Forestry, Fishing",6020.4399
2020,"Production Sectors"," Industry, Mining, Construction",1963.9
2020,"Production Sectors","Trade Policies & Regulations",753.72998
2020,"Production Sectors","Tourism",38.57
2020,"Multi-Sector / Cross-Cutting","General Environment Protection",3798.6699
2020,"Multi-Sector / Cross-Cutting","Other Multisector",8310.9502
2020,"Commodity Aid / General Programme Assistance","General Budget Support",2708.8799
2020,"Commodity Aid / General Programme Assistance","Development Food Assistance",1198.96
2020,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",17.83
2020,"Action Relating to Debt","Action Relating to Debt",954.78003
2020,"Humanitarian Aid","Emergency Response",15641.71
2020,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",502.42001
2020,"Humanitarian Aid","Disaster Prevention & Preparedness",565.62
2020,"Unallocated / Unspecified","Unallocated / Unspecified",17916.67
2019,"Social Infrastructure & Services","Education",10365.97
2019,"Social Infrastructure & Services","Health",6824.5
2019,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",6102.3198
2019,"Social Infrastructure & Services","Water Supply & Sanitation",5381.4702
2019,"Social Infrastructure & Services","Government & Civil Society",16364.91
2019,"Social Infrastructure & Services","Other Social Infrastructure & Services",2592.24
2019,"Economic Infrastructure & Services","Transport & Storage",7821.7598
2019,"Economic Infrastructure & Services","Communications",676.60999
2019,"Economic Infrastructure & Services","Energy",9715.04
2019,"Economic Infrastructure & Services","Banking & Financial Services",2244.99
2019,"Economic Infrastructure & Services","Business & Other Services",2105.6399
2019,"Production Sectors"," Agriculture, Forestry, Fishing",5884.21
2019,"Production Sectors"," Industry, Mining, Construction",2776.7
2019,"Production Sectors","Trade Policies & Regulations",581.01001
2019,"Production Sectors","Tourism",56.349998
2019,"Multi-Sector / Cross-Cutting","General Environment Protection",4284.1899
2019,"Multi-Sector / Cross-Cutting","Other Multisector",7396.6201
2019,"Commodity Aid / General Programme Assistance","General Budget Support",1249.62
2019,"Commodity Aid / General Programme Assistance","Development Food Assistance",1136.45
2019,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",6.46
2019,"Action Relating to Debt","Action Relating to Debt",44.75
2019,"Humanitarian Aid","Emergency Response",17147.01
2019,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",455.67001
2019,"Humanitarian Aid","Disaster Prevention & Preparedness",629.46002
2019,"Unallocated / Unspecified","Unallocated / Unspecified",19083.76
2018,"Social Infrastructure & Services","Education",9854.1602
2018,"Social Infrastructure & Services","Health",6867.5801
2018,"Social Infrastructure & Services","Population Policies/Programmes & Reproductive Health",7407.02
2018,"Social Infrastructure & Services","Water Supply & Sanitation",5057.4702
2018,"Social Infrastructure & Services","Government & Civil Society",15864.65
2018,"Social Infrastructure & Services","Other Social Infrastructure & Services",1900.74
2018,"Economic Infrastructure & Services","Transport & Storage",11446.65
2018,"Economic Infrastructure & Services","Communications",335.37
2018,"Economic Infrastructure & Services","Energy",7095.5098
2018,"Economic Infrastructure & Services","Banking & Financial Services",1878.98
2018,"Economic Infrastructure & Services","Business & Other Services",1454.54
2018,"Production Sectors"," Agriculture, Forestry, Fishing",5815.6401
2018,"Production Sectors"," Industry, Mining, Construction",1139.8
2018,"Production Sectors","Trade Policies & Regulations",1002.81
2018,"Production Sectors","Tourism",42.25
2018,"Multi-Sector / Cross-Cutting","General Environment Protection",3417.8
2018,"Multi-Sector / Cross-Cutting","Other Multisector",6801.0298
2018,"Commodity Aid / General Programme Assistance","General Budget Support",1108.05
2018,"Commodity Aid / General Programme Assistance","Development Food Assistance",1751.15
2018,"Commodity Aid / General Programme Assistance","Other Commodity Assistance",46.799999
2018,"Action Relating to Debt","Action Relating to Debt",204.42999
2018,"Humanitarian Aid","Emergency Response",13291.77
2018,"Humanitarian Aid","Reconstruction Relief & Rehabilitation",1161.75
2018,"Humanitarian Aid","Disaster Prevention & Preparedness",498.79001
2018,"Unallocated / Unspecified","Unallocated / Unspecified",21008.41
2017,"Social Infrastructure & Services","Education",9548.1699
